gene,BP,CC,MF
ACHE,"['GO:0007155', 'GO:0002076', 'GO:0007399', 'GO:0001919']","['GO:0009986', 'GO:0005615', 'GO:0005576', 'GO:0005886', 'GO:0016020', 'GO:0005794', 'GO:0005634', 'GO:0048471', 'GO:0031594', 'GO:0005604']","['GO:0001540', 'GO:0005515', 'GO:0042803']"
ACSS3,['GO:0046951'],,['GO:0005515']
ADAMTS12,"['GO:0032331', 'GO:0016477', 'GO:0002062', 'GO:0071773', 'GO:1902548', 'GO:0071356', 'GO:0030198', 'GO:0007160']","['GO:0031012', 'GO:0005576']",['GO:0005515']
ADAMTS20,"['GO:0006915', 'GO:0043066', 'GO:0030318', 'GO:0030198', 'GO:0007165', 'GO:0045636']","['GO:0031012', 'GO:0005615', 'GO:0005576']",['GO:0008270']
ADAMTS9,"['GO:0007275', 'GO:0030318', 'GO:0030198', 'GO:0045636']","['GO:0009986', 'GO:0031012', 'GO:0005615']",['GO:0008270']
ADORA3,"['GO:0008285', 'GO:0006954', 'GO:0032088', 'GO:0007165']","['GO:0005887', 'GO:0005886', 'GO:0042734', 'GO:0030425']",
AGFG1,['GO:0030154'],"['GO:0005737', 'GO:0005829', 'GO:0031410']","['GO:0005515', 'GO:0003677']"
AJAP1,"['GO:0007155', 'GO:0061045', 'GO:0001953']","['GO:0009986', 'GO:0005886', 'GO:0005912', 'GO:0016323', 'GO:0044291', 'GO:0016324', 'GO:0009898']","['GO:0008013', 'GO:0005515', 'GO:0044877']"
AKAP13,"['GO:0043410', 'GO:0055007', 'GO:0035556', 'GO:0035023', 'GO:0043123', 'GO:0043406']","['GO:0005737', 'GO:0016020', 'GO:0030864', 'GO:0005634', 'GO:0005829', 'GO:0048471']","['GO:0005515', 'GO:0051018']"
ALDH1L1,['GO:0006740'],"['GO:0070062', 'GO:0005737', 'GO:0005829']",
ALOX5,"['GO:0051122', 'GO:0050728', 'GO:0061045', 'GO:0043651', 'GO:1903573']","['GO:0005615', 'GO:0005576', 'GO:0005737', 'GO:0005654', 'GO:0005829', 'GO:0048471', 'GO:0034774']","['GO:0005515', 'GO:0005506']"
