"","ADHFE1","AGFG1","AKT1","APCS","ATG16L1","ATN1","BCAS1","BDH2","CADM3","CAPN2","CASP8","CATSPER1","CCL1","CCL11","CCL7","CD1C","CD1D","CD84","CDH17","CFLAR","DCC","DCD","DLC1","DLX2","E2F6","ENOSF1","ESR1","FABP1","FCRL3","FSD1","GDF5","GFM1","GRIA1","HMGCL","HTR2A","IFI16","ITGBL1","KLK2","LRP1B","LUC7L3","MARCO","MARK4","MIR134","MUC16","NUP43","PAX4","PFDN4","PHC3","POLR3A","PPP2CB","PRG2","PROKR2","PSMD8","RAB17","RFX2","SLC35B4","SPRR1B","STEAP2","TIPIN","TM9SF4","TRIM68","TYR","UBE2V2","UBE4B","VPREB1","WARS2","ZBTB32"
"ADHFE1",1,0.629,0.46,0.395,0.478,0.66,0.497,0.502,0.181,0.44,0.533,0.213,0.253,0.253,0.253,0.546,0.473,0.522,0.348,0.455,0.342,0.282,0.486,0.441,0.591,0.222,0.453,0.6,0.28,0.331,0.253,1,0.292,0.756,0.154,0.588,0.204,0.361,0.164,0.593,0.403,0.391,0.255,0.45,0.533,0.577,0.672,0.608,0.563,0.373,0.348,0.201,0.454,0.322,0.594,0.673,0.475,0.437,0.607,0.56,0.658,0.59,0.53,0.521,0.253,0.811,0.631
"AGFG1",0.629,1,0.679,0.508,0.624,0.792,0.655,0.718,0.262,0.613,0.657,0.279,0.366,0.366,0.366,0.604,0.64,0.555,0.411,0.702,0.562,0.387,0.689,0.508,0.591,0.383,0.661,0.733,0.469,0.359,0.366,0.629,0.425,0.7,0.239,0.732,0.325,0.51,0.259,0.587,0.606,0.577,0.412,0.459,0.791,0.497,0.802,0.596,0.738,0.594,0.436,0.33,0.643,0.523,0.792,0.614,0.706,0.702,0.585,0.637,0.816,0.84,0.7,0.748,0.366,0.599,0.596
"AKT1",0.46,0.679,1,0.524,0.574,0.705,0.559,0.602,0.413,0.676,0.769,0.466,0.384,0.384,0.384,0.623,0.654,0.605,0.599,0.629,0.606,0.413,0.698,0.601,0.592,0.63,0.858,0.677,0.543,0.402,0.384,0.46,0.478,0.66,0.46,0.785,0.475,0.433,0.484,0.555,0.613,0.687,0.469,0.607,0.651,0.502,0.724,0.549,0.763,0.511,0.426,1,0.636,0.538,0.665,0.431,0.647,0.607,0.571,0.573,0.732,0.627,0.695,0.655,0.384,0.642,0.564
"APCS",0.395,0.508,0.524,1,0.391,0.569,0.591,0.572,0.314,0.505,0.425,0.318,0.754,0.754,0.754,0.694,0.627,0.462,0.436,0.365,0.407,0.767,0.483,0.439,0.53,0.467,0.5,0.674,0.543,0.284,0.754,0.395,0.337,0.454,0.286,0.583,0.378,0.721,0.297,0.523,0.504,0.396,1,0.563,0.497,0.413,0.516,0.524,0.573,0.32,0.809,0.387,0.446,0.449,0.529,0.393,0.382,0.377,0.515,0.47,0.559,0.462,0.65,0.496,0.754,0.47,0.514
"ATG16L1",0.478,0.624,0.574,0.391,1,0.54,0.521,0.574,0.269,0.552,0.586,0.378,0.314,0.314,0.314,0.487,0.55,0.44,0.361,0.585,0.496,0.313,0.566,0.49,0.431,0.34,0.55,0.523,0.427,0.326,0.314,0.478,0.401,0.568,0.277,0.547,0.317,0.366,0.274,0.38,0.517,0.573,0.38,0.382,0.496,0.384,0.61,0.401,0.552,0.497,0.328,0.42,0.51,0.412,0.555,0.477,0.579,0.535,0.421,0.5,0.604,0.587,0.52,0.548,0.314,0.474,0.428
"ATN1",0.66,0.792,0.705,0.569,0.54,1,0.573,0.612,0.265,0.54,0.655,0.282,0.367,0.367,0.367,0.589,0.573,0.58,0.545,0.604,0.466,0.354,0.656,0.454,0.785,0.383,0.695,0.814,0.469,0.35,0.367,0.66,0.349,0.647,0.236,0.853,0.32,0.395,0.245,0.795,0.519,0.498,0.412,0.461,0.754,0.73,0.788,0.803,0.832,0.467,0.389,0.33,0.705,0.399,0.832,0.563,0.61,0.514,0.785,0.55,0.902,0.721,0.798,0.785,0.367,0.722,0.812
"BCAS1",0.497,0.655,0.559,0.591,0.521,0.573,1,0.968,0.292,0.604,0.519,0.285,0.531,0.531,0.531,0.489,0.596,0.361,0.329,0.655,0.5,0.734,0.505,0.454,0.368,0.383,0.502,0.694,0.469,0.33,0.531,0.497,0.328,0.538,0.246,0.483,0.33,0.707,0.262,0.343,0.546,0.506,0.593,0.574,0.436,0.389,0.622,0.344,0.498,0.508,0.609,0.33,0.45,0.507,0.63,0.481,0.675,0.534,0.37,0.49,0.596,0.63,0.696,0.565,0.531,0.447,0.394
"BDH2",0.502,0.718,0.602,0.572,0.574,0.612,0.968,1,0.294,0.639,0.577,0.289,0.51,0.51,0.51,0.488,0.62,0.363,0.34,0.743,0.594,0.673,0.555,0.454,0.372,0.383,0.552,0.752,0.469,0.335,0.51,0.502,0.333,0.607,0.256,0.558,0.343,0.663,0.27,0.342,0.588,0.557,0.593,0.547,0.508,0.391,0.689,0.344,0.581,0.638,0.583,0.33,0.52,0.506,0.665,0.481,0.755,0.604,0.375,0.488,0.658,0.651,0.714,0.611,0.51,0.458,0.395
"CADM3",0.181,0.262,0.413,0.314,0.269,0.265,0.292,0.294,1,0.386,0.343,0.603,0.358,0.358,0.358,0.49,0.494,0.628,0.717,0.414,0.538,0.324,0.388,0.257,0.205,0.329,0.41,0.23,0.373,0.194,0.358,0.181,0.367,0.22,0.504,0.346,0.642,0.299,0.597,0.182,0.541,0.268,0.33,0.501,0.217,0.242,0.259,0.183,0.366,0.248,0.308,1,0.219,0.403,0.281,0.204,0.528,0.419,0.213,0.419,0.249,0.243,0.235,0.25,0.358,0.465,0.229
"CAPN2",0.44,0.613,0.676,0.505,0.552,0.54,0.604,0.639,0.386,1,0.617,0.407,0.366,0.366,0.366,0.662,0.697,0.529,0.502,0.599,0.576,0.425,0.801,0.454,0.408,0.383,0.613,0.59,0.469,0.295,0.366,0.44,0.535,0.549,0.444,0.575,0.497,0.489,0.347,0.376,0.582,0.615,0.593,0.581,0.513,0.363,0.592,0.378,0.578,0.464,0.452,1,0.523,0.609,0.54,0.534,0.617,0.597,0.404,0.572,0.632,0.581,0.588,0.527,0.366,0.547,0.406
