gene,cluster
ACCS,6
ACOT11,3
ACSS3,6
ADAM11,1
ADAMTS12,6
AFAP1L1,6
ALDH1L1,3
ALOX12,6
ANGPTL2,6
ANK1,6
ANXA2,6
AOX1,6
APC,6
ATOH1,2
B3GAT1,6
BMP7,6
CA3,6
CALD1,6
CARTPT,6
CAV1,6
CBX5,6
CCDC8,4
CCK,6
CCND2,6
CD248,6
CD44,6
CD9,6
CDH23,6
CDKN1B,6
CDO1,3
CDX2,5
CFTR,1
CLDN10,6
CLDN9,6
CMTM2,4
CNN3,1
COL5A2,1
COL7A1,6
CPVL,3
CRABP2,6
CUL1,6
CX3CL1,6
CXCL1,6
CYB5R2,6
CYBA,6
DAB1,4
DCTN1,6
DIXDC1,6
DSE,3
DUOX1,6
E2F8,5
EFEMP1,6
EFS,6
ENPP2,3
EPHX3,3
ESRRG,5
EYA4,6
FAIM2,4
FBN1,6
FBN2,6
FBXO17,6
FGF8,1
FLOT1,6
FLRT2,3
FOXG1,5
GCM2,5
GCNT2,3
GFRA3,6
GIT1,6
GJA3,3
GLI3,5
GPX3,6
GREM1,6
GRHL3,5
GSTM2,6
GSX2,2
HAAO,6
HES5,2
HIF3A,2
HOXA7,5
HOXC11,5
HOXC4,5
ICAM4,6
IFNGR2,6
IGF2BP2,6
IKZF1,5
IL1B,6
INA,6
KCNH2,6
KLK13,6
KRT7,6
LAMA2,1
LAYN,1
LDB1,6
LEP,6
LPAR1,6
LRRC4,4
LRRFIP1,5
LTF,6
MACF1,6
MAGI2,6
MAPK10,6
MARVELD1,1
MIR9-1,3
MMP14,6
NAT8L,6
NDRG2,6
NEU1,6
NFATC3,5
NR1H3,5
NRG1,1
NSD1,6
NT5C1A,6
NUAK1,6
P2RX6,3
PAH,3
PAX3,5
PDE4B,6
PDGFRB,6
PDPN,6
PER1,5
PFKP,6
PHOX2A,5
PLTP,3
PON3,1
POU3F3,5
PPT2,3
PROM1,6
PYCARD,6
RARA,5
RARB,2
RARRES1,6
RARRES2,6
RBP1,6
REC8,6
RGMA,6
RHCG,6
RUSC1,6
SCGB3A1,6
SCUBE3,6
SEMA5A,1
SERPINB1,6
SFRP5,6
SIM1,5
SIX2,5
SLC13A3,1
SLC18A2,1
SLC2A2,3
SLC34A2,3
SLC4A11,1
SLC5A7,3
SLC6A3,1
SLCO4C1,3
SLFN11,6
SOSTDC1,1
SOX1,5
SPARC,6
SPRY4,6
SSTR4,6
TAC1,1
TACC2,1
TET2,6
THBS4,6
TIAM1,6
TIMP2,6
TINAGL1,6
TMEM106A,6
TMEM176B,4
TP53AIP1,1
TUBA4B,1
TXNRD1,6
VANGL2,4
VIPR2,3
VWCE,6
WFDC2,6
WFDC5,6
WIF1,6
WIPF1,6
WNT16,1
ZFP42,5
ZNF154,2
ZSCAN12,5
