"","ADHFE1","AGFG1","AKT1","APCS","ATG16L1","ATN1","BDH2","CADM3","CAPN2","CASP8","CATSPER1","CCL1","CCL11","CCL7","CD1C","CD1D","CD84","CDH17","CFLAR","DCC","DCD","DLC1","DLX2","E2F6","ENOSF1","ESR1","FABP1","FCRL3","FSD1","GDF5","GFM1","GRIA1","HMGCL","HTR2A","IFI16","ITGBL1","KLK2","LRP1B","LUC7L3","MARCO","MARK4","MIR134","MIR488","MUC16","NUP43","PAX4","PFDN4","PHC3","PHF14","POLR3A","PPP2CB","PRG2","PROKR2","PSMD8","RAB17","RFX2","SLC35B4","SPRR1B","STEAP2","TIPIN","TM9SF4","TRIM68","TYR","UBE2V2","UBE4B","WARS2","ZBTB32"
"ADHFE1",1,0.122,0.121,0.116,0.158,0.124,0.372,0.122,0.152,0.147,0.112,0.048,0.092,0.094,0.108,0.109,0.13,0.099,0.123,0.13,0.117,0.114,0.101,0.098,0.163,0.093,0.164,0.087,0.093,0.111,0.115,0.086,0.141,0.102,0.111,0.081,0.137,0.13,0.111,0.141,0.111,0.052,0.053,0.147,0.147,0.079,0.12,0.133,0.121,0.141,0.14,0.13,0.124,0.147,0.117,0.105,0.1,0.21,0.292,0.122,0.147,0.121,0.169,0.147,0.114,0.151,0.092
"AGFG1",0.122,1,0.434,0.661,0.586,0.655,0.51,0.725,0.558,0.477,0.597,0.357,0.612,0.6,0.527,0.605,0.778,0.558,0.543,0.625,0.775,0.62,0.518,0.503,0.211,0.517,0.588,0.49,0.598,0.707,0.795,0.382,0.276,0.497,0.896,0.531,0.099,0.625,0.969,0.36,0.495,0.605,0.67,1,1,0.454,0.71,0.731,0.603,0.508,0.62,0.625,0.618,1,0.531,0.578,0.499,0.306,0.112,0.847,1,0.554,0.584,1,0.481,0.11,0.534
"AKT1",0.121,0.434,1,0.497,0.556,0.461,0.437,0.491,0.468,0.506,0.415,0.205,0.462,0.434,0.421,0.466,0.487,0.428,0.506,0.421,0.432,0.464,0.384,0.387,0.197,0.548,0.468,0.358,0.398,0.495,0.41,0.371,0.247,0.436,0.445,0.531,0.247,0.421,0.427,0.302,0.662,0.138,0.238,1,1,0.184,0.467,0.46,0.435,0.467,0.466,0.421,0.42,1,0.446,0.393,0.399,0.306,0.104,0.434,1,0.573,0.503,1,0.406,0.151,0.384
"APCS",0.116,0.661,0.497,1,0.651,0.657,0.552,0.71,0.599,0.549,0.628,0.322,0.627,0.624,0.575,0.621,0.772,0.72,0.59,0.642,0.594,0.637,0.5,0.516,0.316,0.525,0.62,0.462,0.629,0.73,0.564,0.461,0.431,0.571,0.637,0.531,0.099,0.642,0.62,0.381,0.533,0.211,0.238,1,1,0.241,0.732,0.699,0.676,0.575,0.637,0.642,0.639,1,0.581,0.51,0.57,0.306,0.103,0.661,1,0.624,0.709,1,0.494,0.11,0.524
"ATG16L1",0.158,0.586,0.556,0.651,1,0.59,0.509,0.642,0.612,0.606,0.548,0.291,0.577,0.561,0.514,0.577,0.712,0.536,0.56,0.564,0.528,0.569,0.438,0.449,0.226,0.509,0.565,0.462,0.587,0.68,0.502,0.406,0.275,0.501,0.576,0.531,0.296,0.564,0.549,0.366,0.621,0.18,0.238,1,1,0.216,0.634,0.638,0.563,0.564,0.625,0.564,0.56,1,0.514,0.448,0.493,0.306,0.141,0.586,1,0.732,0.62,1,0.627,0.177,0.426
"ATN1",0.124,0.655,0.461,0.657,0.59,1,0.502,0.705,0.567,0.502,0.602,0.354,0.617,0.604,0.539,0.607,0.747,0.566,0.592,0.625,0.56,0.672,0.501,0.502,0.204,0.524,0.604,0.481,0.575,0.698,0.518,0.421,0.278,0.477,0.622,0.531,0.099,0.625,0.594,0.38,0.498,0.208,0.238,1,1,0.275,0.697,0.713,0.662,0.527,0.62,0.625,0.619,1,0.537,0.513,0.52,0.306,0.113,0.655,1,0.56,0.589,1,0.481,0.11,0.464
"BDH2",0.372,0.51,0.437,0.552,0.509,0.502,1,0.523,0.469,0.454,0.438,0.253,0.513,0.48,0.437,0.524,0.559,0.461,0.441,0.457,0.464,0.477,0.368,0.367,0.219,0.467,0.472,0.401,0.428,0.56,0.432,0.339,0.262,0.417,0.522,0.531,0.137,0.457,0.484,0.322,0.474,0.199,0.256,1,1,0.244,0.562,0.556,0.482,0.409,0.49,0.457,0.452,1,0.45,0.392,0.391,0.306,0.233,0.51,1,0.496,0.529,1,0.36,0.151,0.373
"CADM3",0.122,0.725,0.491,0.71,0.642,0.705,0.523,1,0.6,0.51,0.66,0.382,0.661,0.642,0.563,0.63,0.876,0.594,0.585,0.688,0.592,0.67,0.452,0.47,0.21,0.504,0.639,0.512,0.716,0.773,0.543,0.408,0.275,0.504,0.664,0.531,0.099,0.688,0.639,0.382,0.51,0.226,0.238,1,1,0.238,0.752,0.781,0.645,0.559,0.67,0.688,0.681,1,0.57,0.466,0.549,0.306,0.112,0.725,1,0.664,0.741,1,0.528,0.11,0.435
"CAPN2",0.152,0.558,0.468,0.599,0.612,0.567,0.469,0.6,1,0.825,0.515,0.287,0.559,0.538,0.488,0.563,0.635,0.512,0.723,0.533,0.5,0.543,0.407,0.415,0.218,0.48,0.535,0.434,0.521,0.618,0.492,0.377,0.264,0.44,0.554,0.531,0.497,0.533,0.52,0.351,0.542,0.176,0.238,1,1,0.209,0.62,0.622,0.54,0.472,0.664,0.533,0.529,1,0.505,0.418,0.456,0.306,0.134,0.558,1,0.575,0.537,1,0.462,0.141,0.397
"CASP8",0.147,0.477,0.506,0.549,0.606,0.502,0.454,0.51,0.825,1,0.455,0.221,0.498,0.477,0.451,0.507,0.551,0.465,0.763,0.465,0.455,0.475,0.403,0.408,0.204,0.481,0.482,0.372,0.443,0.553,0.471,0.383,0.239,0.45,0.486,0.531,0.625,0.465,0.463,0.324,0.501,0.137,0.238,1,1,0.181,0.524,0.518,0.478,0.444,0.584,0.465,0.462,1,0.476,0.41,0.429,0.306,0.127,0.477,1,0.582,0.523,1,0.434,0.177,0.397
