gene,cluster
ACCS,4
ACOT11,7
ACSS3,6
ADAM11,7
ADAMTS12,4
AFAP1L1,1
ALDH1L1,7
ALOX12,4
ANGPTL2,4
ANK1,4
ANXA2,4
AOX1,4
APC,4
ATOH1,6
B3GAT1,7
BMP7,4
C11orf95,3
CA3,4
CALD1,4
CARTPT,4
CAV1,4
CBX5,6
CCDC8,4
CCK,4
CCND2,4
CD248,4
CD44,4
CD9,4
CDH23,4
CDKN1B,4
CDO1,7
CDX2,6
CFTR,7
CLDN10,4
CLDN9,4
CMTM2,2
CNN3,4
COL5A2,7
COL7A1,4
CPVL,7
CRABP2,4
CUL1,4
CX3CL1,4
CXCL1,4
CYB5R2,7
CYBA,4
DAB1,4
DCTN1,4
DIXDC1,4
DSE,7
DUOX1,4
E2F8,6
EFEMP1,4
EFS,4
ENPP2,7
EPHX3,7
EPSTI1,3
ESRRG,6
EYA4,4
FAIM2,4
FBN1,4
FBN2,4
FBXO17,7
FGF8,4
FJX1,4
FLOT1,4
FLRT2,4
FOXG1,6
GCM2,6
GCNT2,7
GFRA3,4
GIT1,4
GJA3,7
GLI3,6
GPX3,7
GREM1,4
GRHL3,6
GSTM2,4
GSX2,6
HAAO,4
HES5,6
HIF3A,6
HOXA7,6
HOXC11,6
HOXC4,6
ICAM4,4
IFNGR2,4
IGF2BP2,4
IKZF1,6
IL1B,4
INA,4
ITIH5,5
KCNH2,7
KLK13,4
KRT7,4
LAMA2,7
LAYN,4
LDB1,4
LEP,4
LPAR1,4
LRRC4,4
LRRFIP1,6
LTF,4
MACF1,4
MAGI2,4
MAPK10,4
MARVELD1,7
MIR155HG,3
MIR9-1,6
MMP14,4
NAT8L,4
NDRG2,4
NEU1,7
NFATC3,6
NR1H3,6
NRG1,4
NSD1,6
NT5C1A,4
NUAK1,4
P2RX6,7
PAH,7
PAX3,6
PDE4B,4
PDGFRB,4
PDPN,4
PER1,6
PFKP,7
PHOX2A,6
PLTP,7
PON3,7
POU3F3,6
PPT2,7
PROM1,4
PYCARD,4
RARA,6
RARB,6
RARRES1,4
RARRES2,4
RBP1,7
REC8,6
RGMA,4
RHCG,7
RUSC1,4
SCGB3A1,4
SCUBE3,4
SEMA5A,4
SERPINB1,7
SFRP5,4
SIM1,6
SIX2,6
SLC13A3,7
SLC18A2,7
SLC2A2,7
SLC34A2,7
SLC4A11,7
SLC5A7,7
SLC6A3,7
SLCO4C1,7
SLFN11,6
SOBP,7
SOSTDC1,4
SOX1,6
SPARC,4
SPRY4,4
SSTR4,7
TAC1,4
TACC2,4
TET2,6
THBS4,4
TIAM1,4
TIMP2,7
TINAGL1,4
TMEM106A,4
TMEM176B,4
TP53AIP1,4
TUBA4B,4
TXNRD1,4
VANGL2,4
VIPR2,7
VWCE,4
WFDC2,7
WFDC5,7
WIF1,4
WIPF1,4
WNT16,4
ZFP42,6
ZNF154,6
ZSCAN12,6
