gene,cluster
ACHE,3
ACSS3,3
ADAMTS12,3
ADAMTS9,5
ADORA3,5
AFAP1L1,3
AKAP13,3
ALDH1L1,5
ALOX5,3
ANGPTL2,3
ANK1,3
ANXA2,3
ANXA6,3
AOX1,3
APC,3
ARL3,3
ATP2B4,3
B4GALNT3,5
BCAS3,3
C16orf74,1
CAV2,3
CBX5,3
CCDC8,1
CCK,3
CD200,3
CD8A,3
CDH23,3
CDKN1C,3
CDKN2A,3
CFTR,3
CHST11,5
CHST3,5
CLASP2,3
CLDN5,3
CLEC14A,3
CMIP,1
CPVL,5
CRYM,3
CUL1,3
CXCL1,3
CYBA,3
CYP11A1,3
CYP27A1,5
DOCK2,3
DOK7,3
DSE,5
DUSP6,3
EDNRA,3
EFEMP1,3
EFS,3
EIF5A2,3
ENPP2,5
EYA4,3
FAIM2,1
FAM110B,1
FBLN5,3
FBN2,3
FBXO17,3
FEV,4
FGF18,3
FGFR1,3
FLOT1,3
FLT4,3
GATA3,2
GATA6,2
GCM2,2
GJA1,3
GLI3,2
GMDS,3
GRHL3,2
GSC,4
GSTM2,3
GSTP1,3
GSX2,4
HAAO,3
HFE,3
HIF3A,4
HLA-F,3
HLF,2
HOPX,1
HOXA7,2
HOXC4,2
HS3ST1,5
IER3,1
IL17RD,5
IRAK3,3
ISYNA1,3
ITGA11,3
KCNH2,3
KLK13,3
LAMA2,5
LDB1,3
LEF1,2
LPAR1,3
LYN,3
MACF1,3
MAML2,3
MAPK15,3
MAPT,3
MARVELD1,5
MFGE8,5
MX1,3
NBEAL2,3
NBR1,3
NNT,5
NOX4,3
NR1H3,2
NR2E1,2
NUAK1,3
NXPH2,3
PAH,5
PAX5,2
PDE4B,3
PFKP,3
PHLDA1,1
PHOX2A,2
PON3,3
PPM1H,3
PPT2,5
PRKCB,3
PROM1,3
PTGER4,3
PTPRN2,5
PYCARD,3
RARA,2
RARB,4
RARG,2
RARRES2,3
RGS20,3
RHCG,3
RPTOR,3
RUNX2,2
SALL2,2
SCGB3A1,3
SERPINB1,3
SERPINB9,3
SFRP5,3
SHF,3
SIX2,2
SLC13A3,3
SLC16A5,3
SLC2A2,5
SLC2A5,3
SLC6A3,3
SLCO4C1,5
SLFN11,3
SND1,3
SNED1,3
SOSTDC1,3
SPRY4,3
SSTR4,3
ST6GALNAC3,3
STIM1,3
TAC1,3
TACC2,3
TBC1D1,3
TET1,3
TFAP2B,2
TFPI,5
TIMP2,3
TLX1,2
TMEM106A,3
TPM4,3
TRIM2,3
TRIP6,3
TTC28,3
TXNRD1,3
UCP1,5
USP44,3
WFDC2,3
ZFP42,2
ZNF154,4
ZNF660,2
ZNF90,4
