gene,cluster
ADAMTS20,2
AGFG1,5
AJAP1,5
ANAPC2,4
APCS,5
BDH2,5
BRD2,5
C10orf90,1
CACNA1A,5
CACNA1E,3
CADM3,5
CALCRL,5
CASP8,5
CCL7,5
CD1B,5
CD1C,5
CDH17,5
CDH4,5
CHODL,4
CLDN12,5
CNTN1,5
COL4A2,5
CORO1B,5
CPXM2,2
CSMD1,4
CTNNA2,5
DACH1,5
DCC,5
DCD,5
DLC1,5
DNAJA3,5
DPF3,1
E2F6,5
EEF2,5
EHMT2,5
EPHB1,5
ERP44,5
FCRL3,5
FPR2,5
GDF15,5
GNA12,5
GNL3,5
GRIA1,5
GRIK3,3
GRIN2A,5
HCK,5
HDAC4,5
HMCN1,5
HMGCL,1
IFI16,5
ITGBL1,5
LCE4A,5
LCP2,4
LRP1B,5
LTBP1,5
MARCO,5
MARK4,5
MAZ,5
MMP16,2
MOG,4
MS4A3,4
NOTCH4,5
NUP43,4
NUP93,5
OXA1L,5
PFDN4,5
PRDM16,5
PRRX1,5
RAB17,5
RGS7,5
RPL22L1,5
RPS15,5
RPS18,5
SCN10A,5
SCN11A,3
SEMA3D,5
SFTPA2,4
SHROOM3,5
SIM2,5
SLC2A9,3
SLC33A1,5
SLC39A7,5
SLC8A1,5
STAT4,5
STEAP2,3
TCN1,5
TM9SF4,4
TRIM36,5
TRPM4,5
TYR,5
WNT7A,5
