"ADAMTS20","AGFG1","AJAP1","ANAPC2","APCS","BDH2","BRD2","C10orf90","CACNA1A","CACNA1E","CADM3","CALCRL","CASP8","CCL7","CD1B","CD1C","CDH17","CDH4","CHODL","CLDN12","CNTN1","COL4A2","CORO1B","CPXM2","CSMD1","CTNNA2","DACH1","DCC","DCD","DLC1","DNAJA3","DPF3","E2F6","EEF2","EHMT2","EPHB1","ERP44","FCRL3","FPR2","GDF15","GNA12","GNL3","GRIA1","GRIK3","GRIN2A","HCK","HDAC4","HMCN1","HMGCL","IFI16","ITGBL1","LCE4A","LCP2","LRP1B","LTBP1","MARCO","MARK4","MAZ","MMP16","MOG","MS4A3","NOTCH4","NUP43","NUP93","OXA1L","PFDN4","PRDM16","PRRX1","RAB17","RGS7","RPL22L1","RPS15","RPS18","SCN10A","SCN11A","SEMA3D","SFTPA2","SHROOM3","SIM2","SLC2A9","SLC33A1","SLC39A7","SLC8A1","STAT4","STEAP2","TCN1","TM9SF4","TRIM36","TRPM4","TYR","WNT7A"
1,0.107,0.107,0.107,0.107,0.147,0.219,0.189,0.107,0.031,0.107,0.107,0.667,0.107,0.107,0.107,0.107,0.06,0.107,0.107,0.107,0.153,0.107,0.458,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.041,0.107,0.157,0.192,0.131,0.284,0.078,0.107,0.107,0.157,0.107,0.107,0.06,0.107,0.219,0.404,0.107,0.153,0.107,0.061,0.107,0.107,0.107,0.153,0.153,0.219,0.107,1,0.078,0.107,0.107,0.107,0.107,0.107,0.107,0.144,0.107,0.157,0.157,0.107,0.107,0.107,0.078,0.027,0.06,0.107,0.063,0.107,0.107,0.107,0.107,0.107,0.107,0.118,0.153,0.107,0.252,0.107,0.11,0.107
0.107,1,0.731,1,0.661,0.51,0.585,0.353,0.496,0.064,0.725,0.423,0.477,0.6,0.553,0.527,0.558,0.454,1,0.778,0.724,0.505,0.677,0.091,1,0.647,0.503,0.625,0.775,0.62,0.724,0.281,0.503,0.706,0.458,0.603,0.615,0.49,0.439,0.675,0.505,0.826,0.382,0.095,0.391,0.556,0.499,0.637,0.276,0.896,0.531,0.778,1,0.625,0.507,0.36,0.495,0.757,0.179,0.788,1,0.586,1,0.637,0.573,0.71,0.411,0.516,0.531,0.472,0.845,0.728,0.845,0.393,0.065,0.495,1,0.538,0.602,0.13,0.594,0.606,0.636,0.561,0.112,0.623,1,0.606,0.407,0.584,0.666
0.107,0.731,1,1,0.705,0.556,0.645,0.396,0.56,0.068,0.781,0.496,0.518,0.658,0.618,0.587,0.621,0.495,1,0.824,0.781,0.577,0.8,0.091,1,0.759,0.505,0.701,0.615,0.684,0.781,0.281,0.505,0.601,0.504,0.683,0.693,0.511,0.496,0.73,0.628,0.581,0.439,0.105,0.46,0.606,0.497,0.711,0.296,0.677,0.563,0.824,1,0.701,0.563,0.397,0.53,0.575,0.202,0.788,1,0.646,1,0.711,0.676,0.752,0.384,0.55,0.6,0.518,0.647,0.568,0.647,0.459,0.071,0.527,1,0.595,0.534,0.145,0.663,0.686,0.673,0.589,0.121,0.651,1,0.673,0.482,0.637,0.708
0.107,1,1,1,1,1,1,0.573,1,0.074,1,1,1,1,1,1,1,0.657,1,1,1,1,1,0.091,1,1,1,1,1,1,1,0.281,1,1,1,1,1,0.657,1,1,1,1,1,0.147,1,1,1,1,0.357,1,0.531,1,1,1,1,0.657,1,1,0.281,0.788,1,1,1,1,1,1,1,1,1,0.788,1,1,1,0.788,0.077,0.657,1,0.538,1,0.224,1,1,1,1,0.128,1,1,1,1,1,1
0.107,0.661,0.705,1,1,0.552,0.615,0.352,0.555,0.061,0.71,0.509,0.549,0.624,0.595,0.575,0.72,0.623,1,0.772,0.692,0.567,0.71,0.091,1,0.652,0.516,0.642,0.594,0.637,0.692,0.55,0.516,0.556,0.512,0.631,0.637,0.462,0.507,0.684,0.557,0.57,0.461,0.1,0.523,0.59,0.564,0.648,0.431,0.637,0.531,0.772,1,0.642,0.558,0.381,0.533,0.566,0.259,0.788,1,0.753,1,0.648,0.621,0.732,0.413,0.548,0.581,0.487,0.612,0.562,0.612,0.444,0.061,0.454,1,0.538,0.536,0.144,0.639,0.633,0.749,0.615,0.103,0.615,1,0.63,0.624,0.709,0.663
0.147,0.51,0.556,1,0.552,1,0.478,0.284,0.412,0.057,0.523,0.355,0.454,0.48,0.444,0.437,0.461,0.326,1,0.559,0.523,0.424,0.553,0.12,1,0.53,0.367,0.457,0.464,0.477,0.523,0.281,0.367,0.458,0.414,0.445,0.48,0.401,0.381,0.516,0.43,0.465,0.339,0.09,0.337,0.48,0.447,0.465,0.262,0.522,0.531,0.559,1,0.457,0.445,0.322,0.474,0.43,0.174,0.788,1,0.47,1,0.465,0.459,0.562,0.318,0.405,0.45,0.383,0.469,0.458,0.469,0.306,0.055,0.353,1,0.538,0.411,0.13,0.458,0.444,0.542,0.439,0.233,0.516,1,0.487,0.343,0.529,0.545
0.219,0.585,0.645,1,0.615,0.478,1,0.383,0.481,0.061,0.627,0.424,0.532,0.558,0.522,0.506,0.53,0.395,1,0.662,0.626,0.492,0.622,0.181,1,0.599,0.433,0.56,0.52,0.566,0.626,0.281,0.433,0.496,0.545,0.68,0.616,0.444,0.437,0.605,0.49,0.49,0.39,0.097,0.399,0.719,0.514,0.568,0.27,0.574,0.531,0.662,1,0.56,0.61,0.351,0.665,0.485,0.22,0.788,1,0.547,1,0.568,0.537,0.64,0.364,0.473,0.494,0.44,0.533,0.496,0.533,0.377,0.062,0.422,1,0.538,0.458,0.136,0.547,0.547,0.599,0.507,0.121,0.543,1,0.629,0.412,0.553,0.614
0.189,0.353,0.396,0.573,0.352,0.284,0.383,1,0.257,0.031,0.384,0.219,0.328,0.296,0.293,0.28,0.29,0.209,0.573,0.418,0.377,0.284,0.376,0.151,0.573,0.362,0.225,0.336,0.296,0.326,0.377,0.116,0.225,0.262,0.297,0.377,0.428,0.228,0.229,0.351,0.258,0.265,0.196,0.047,0.202,0.37,0.315,0.345,0.153,0.327,0.282,0.418,0.573,0.336,0.305,0.191,0.465,0.264,0.142,0.417,0.573,0.306,0.573,0.345,0.301,0.377,0.192,0.249,0.285,0.247,0.308,0.271,0.308,0.194,0.029,0.228,0.573,0.415,0.246,0.067,0.315,0.323,0.398,0.281,0.103,0.324,0.573,0.685,0.212,0.312,0.342
0.107,0.496,0.56,1,0.555,0.412,0.481,0.257,1,0.622,0.532,0.402,0.437,0.492,0.512,0.498,0.492,0.328,1,0.562,0.531,0.435,0.556,0.091,1,0.535,0.386,0.475,0.616,0.49,0.531,0.281,0.386,0.451,0.419,0.462,0.469,0.393,0.505,0.525,0.442,0.431,0.568,0.213,0.655,0.479,0.438,0.482,0.235,0.506,0.531,0.562,1,0.475,0.449,0.455,0.441,0.427,0.148,0.788,1,0.482,1,0.482,0.473,0.707,0.325,0.422,0.427,0.383,0.462,0.448,0.462,0.721,0.513,0.351,1,0.538,0.409,0.201,0.52,0.582,0.616,0.453,0.083,0.472,1,0.482,0.634,0.491,0.548
0.031,0.064,0.068,0.074,0.061,0.057,0.061,0.031,0.622,1,0.064,0.052,0.049,0.051,0.059,0.058,0.103,0.039,0.074,0.067,0.063,0.086,0.06,0.025,0.074,0.062,0.053,0.067,0.368,0.06,0.063,0.029,0.053,0.051,0.046,0.061,0.066,0.044,0.056,0.059,0.051,0.053,0.254,0.279,0.364,0.057,0.055,0.071,0.068,0.059,0.046,0.067,0.074,0.067,0.076,0.074,0.049,0.057,0.042,0.055,0.074,0.062,0.074,0.071,0.061,0.062,0.045,0.054,0.056,0.046,0.066,0.058,0.066,0.723,0.857,0.038,0.074,0.047,0.06,0.254,0.158,0.302,0.165,0.061,0.032,0.085,0.074,0.06,0.501,0.055,0.055
