gene,study_count
GSTP1,12
AOX1,6
APC,6
CDKN2A,6
HOXD3,6
PTGS2,6
RARB,6
WT1,6
ZNF154,6
C20orf103,5
EFS,5
HOXC11,5
LHX9,5
RUNX3,5
TBX15,5
BARHL2,4
BDNF,4
CCDC8,4
CYP27A1,4
DLX1,4
EN2,4
ESR1,4
FBLN1,4
FOXE3,4
GP5,4
GRASP,4
HHEX,4
HOXA3,4
HOXD4,4
HOXD8,4
IRX1,4
KIT,4
LBX1,4
LHX2,4
NKX2-1,4
NKX2-2,4
NKX2-5,4
PHOX2A,4
POU3F3,4
RHCG,4
SIX6,4
TBX3,4
TMEM106A,4
VAX1,4
WNT2,4
AKAP2,3
ALG12,3
ALX3,3
ANXA2,3
ARX,3
BARHL1,3
BMP4,3
C1orf114,3
C20orf144,3
CACNA1D,3
CACNA1G,3
CD40,3
CD44,3
CD8A,3
CDH13,3
CDX2,3
CDX4,3
CHMP4A,3
CLIP4,3
CNR1,3
COCH,3
COL4A2,3
COL9A2,3
CRHBP,3
CTBP2,3
DAB1,3
DARC,3
DLX4,3
DOCK1,3
EDNRA,3
EFEMP1,3
ELF4,3
EPSTI1,3
EVX1,3
FBP1,3
FEV,3
FEZF2,3
FGF8,3
FLNC,3
FOXB2,3
FOXD2,3
GAS6,3
GBX2,3
GPR50,3
GREM1,3
GSX2,3
HES5,3
HEXA,3
HFE,3
HIF3A,3
HIST1H4F,3
HMGCLL1,3
HNF1B,3
HOXA11,3
HOXA9,3
HOXB6,3
HOXB8,3
HOXC13,3
HOXC4,3
HOXD9,3
HS3ST1,3
HTR1B,3
IGFBP4,3
IRX5,3
IRX6,3
ISL2,3
KLK10,3
LHX1,3
LHX3,3
LHX5,3
LHX6,3
LMX1B,3
LPAR1,3
MEIS2,3
MEOX2,3
MFAP2,3
MNX1,3
MOBKL2B,3
MSX1,3
NKX2-3,3
ONECUT2,3
OTP,3
OTX2,3
PAGE4,3
PAX3,3
PAX5,3
PDGFRA,3
PDGFRB,3
PDX1,3
PITX2,3
POU3F2,3
POU4F1,3
POU4F3,3
PROM1,3
RASSF1A,3
RAX,3
RB1,3
RGS12,3
RND2,3
SIX2,3
SLC16A5,3
SLC22A16,3
SOX17,3
SOX9,3
SPATA6,3
SSTR1,3
TFAP2A,3
TGFB1,3
TLX1,3
TMEM176B,3
TNFRSF10C,3
TP73,3
TPM4,3
TRPS1,3
UCN,3
ULBP1,3
VSX1,3
VWC2,3
WDR86,3
WIT1,3
WNT16,3
ZIC3,3
ZNF334,3
A4GALT,2
ABCA3,2
ABCB6,2
ABCG1,2
ABHD9,2
ABP1,2
ACD,2
ACOXL,2
ACSF2,2
ACTA1,2
ACTB,2
ACTL6B,2
ACTL7A,2
ADAM12,2
ADAMTS5,2
ADCY1,2
ADCY4,2
ADHFE1,2
ADNP,2
ADRM1,2
AEBP1,2
AES,2
AGBL2,2
AGER,2
ALDH1L1,2
ALDH7A1,2
ALOX15,2
ALOX15B,2
ALPL,2
ALX1,2
ALX4,2
AMPD3,2
ANKRD53,2
ANKRD7,2
ANXA6,2
APOA1,2
AQP8,2
ARHGAP9,2
ARHGEF4,2
ARL9,2
ATP2A1,2
AXL,2
B3GNT1,2
B3GNT8,2
BAMBI,2
BARX1,2
BARX2,2
BAX,2
BCL11B,2
BCL2,2
BCOR,2
BHMT,2
BMP2,2
BMP7,2
BMPER,2
BRD4,2
BRSK1,2
BSND,2
BST1,2
BTG4,2
BTN1A1,2
BVES,2
C10orf12,2
C10orf93,2
C14orf159,2
C16orf72,2
C18orf1,2
C1orf38,2
C1orf49,2
C1orf87,2
C20orf165,2
C21orf33,2
C4orf8,2
C6orf146,2
C6orf15,2
C7orf20,2
C8orf76,2
CACNA2D2,2
CALCA,2
CALML4,2
CAMP,2
CAMSAP1,2
CAPG,2
CAPN3,2
CAPN9,2
CARD14,2
CATSPER1,2
CAV1,2
CAV3,2
CBLN1,2
CCDC13,2
CCDC140,2
CCDC48,2
CCDC80,2
CCL22,2
CCNA1,2
CCS,2
CD38,2
CD81,2
CDC25B,2
CDCA7,2
CDH16,2
CDH3,2
CDKN1B,2
CDKN1C,2
CDO1,2
CDX1,2
CDYL,2
CHI3L1,2
CHIT1,2
CHMP6,2
CHP2,2
CHRM1,2
CHRNA3,2
CHRNB4,2
CHST11,2
CHST7,2
CIITA,2
CLCN1,2
CLDN7,2
CLIP3,2
CMTM2,2
CMTM5,2
CNDP1,2
CNIH3,2
CNOT3,2
COL18A1,2
COL4A1,2
COL7A1,2
COL9A1,2
COX19,2
CPAMD8,2
CPD,2
CPLX2,2
CPNE4,2
CPVL,2
CRELD2,2
CRYAA,2
CRYBB3,2
CTRB1,2
CTSC,2
CX3CR1,2
CXCL1,2
CXCL14,2
CXCL16,2
CXCL5,2
CYB5R3,2
CYBA,2
CYP1A1,2
CYP26C1,2
CYP4F12,2
DBX2,2
