"","CLDN9","COL7A1","FJX1","KCNH2","LDB1","MTMR7","NR1H3","SIX2","ZFP42","ZSCAN12"
"CLDN9",1,0.185,0.346,0.133,0.151,0.114,0.117,0.179,0.169,0.093
"COL7A1",0.185,1,0.198,0.073,0.189,0.059,0.097,0.285,0.159,0.042
"FJX1",0.346,0.198,1,0.203,0.197,0.122,0.343,0.39,0.27,0.077
"KCNH2",0.133,0.073,0.203,1,0.248,0.055,0.307,0.175,0.16,0.784
"LDB1",0.151,0.189,0.197,0.248,1,0.123,0.35,0.441,0.422,0.839
"MTMR7",0.114,0.059,0.122,0.055,0.123,1,0.125,0.076,0.109,0.167
"NR1H3",0.117,0.097,0.343,0.307,0.35,0.125,1,0.251,0.209,0.839
"SIX2",0.179,0.285,0.39,0.175,0.441,0.076,0.251,1,0.345,1
"ZFP42",0.169,0.159,0.27,0.16,0.422,0.109,0.209,0.345,1,1
"ZSCAN12",0.093,0.042,0.077,0.784,0.839,0.167,0.839,1,1,1
