"","CLDN9","COL7A1","FJX1","KCNH2","LDB1","MTMR7","NR1H3","RARRES1","SIX2","ZFP42"
"CLDN9",1,0.46,0.469,0.556,0.522,0.392,0.515,0.366,0.465,0.438
"COL7A1",0.46,1,1,0.38,0.431,0.426,0.444,0.517,0.354,0.402
"FJX1",0.469,1,1,0.469,0.469,0.412,0.412,1,0.316,0.412
"KCNH2",0.556,0.38,0.469,1,0.353,0.499,0.425,0.318,0.29,0.42
"LDB1",0.522,0.431,0.469,0.353,1,0.372,0.799,0.312,0.842,0.673
"MTMR7",0.392,0.426,0.412,0.499,0.372,1,0.636,0.362,0.379,0.677
"NR1H3",0.515,0.444,0.412,0.425,0.799,0.636,1,0.314,0.731,0.705
"RARRES1",0.366,0.517,1,0.318,0.312,0.362,0.314,1,0.285,0.302
"SIX2",0.465,0.354,0.316,0.29,0.842,0.379,0.731,0.285,1,0.728
"ZFP42",0.438,0.402,0.412,0.42,0.673,0.677,0.705,0.302,0.728,1
