Gene name,GO term accession,GO domain
ACE,GO:0016020,cellular_component
ACE,GO:0006508,biological_process
ACE,GO:0008237,molecular_function
ACE,GO:0008241,molecular_function
ACE,GO:0005615,cellular_component
ACE,GO:0005737,cellular_component
ACE,GO:0005576,cellular_component
ACE,GO:0046872,molecular_function
ACE,GO:0005886,cellular_component
ACE,GO:0008233,molecular_function
ACE,GO:0016787,molecular_function
ACE,GO:0003779,molecular_function
ACE,GO:0004180,molecular_function
ACE,GO:0004222,molecular_function
ACE,GO:0001822,biological_process
ACE,GO:0005515,molecular_function
ACE,GO:0005516,molecular_function
ACE,GO:0019229,biological_process
ACE,GO:0070062,cellular_component
ACE,GO:0004175,molecular_function
ACE,GO:0009897,cellular_component
ACE,GO:0048167,biological_process
ACE,GO:0086091,biological_process
ACE,GO:2000170,biological_process
ACE,GO:0008217,biological_process
ACE,GO:0008270,molecular_function
ACE,GO:0042445,biological_process
ACE,GO:0051019,molecular_function
ACE,GO:0014910,biological_process
ACE,GO:0002003,biological_process
ACE,GO:0001974,biological_process
ACE,GO:0002019,biological_process
ACE,GO:0038166,biological_process
ACE,GO:0005764,cellular_component
ACE,GO:0002446,biological_process
ACE,GO:0050482,biological_process
ACE,GO:0031404,molecular_function
ACE,GO:0060047,biological_process
ACE,GO:0008238,molecular_function
ACE,GO:0010814,biological_process
ACE,GO:0010815,biological_process
ACE,GO:0042447,biological_process
ACE,GO:0008240,molecular_function
ACE,GO:0031434,molecular_function
ACE,GO:0031711,molecular_function
ACE,GO:0070573,molecular_function
ACE,GO:1901363,molecular_function
ACE,GO:0001666,biological_process
ACE,GO:0002474,biological_process
ACE,GO:0003081,biological_process
ACE,GO:0003084,biological_process
ACE,GO:0006518,biological_process
ACE,GO:0007283,biological_process
ACE,GO:0007565,biological_process
ACE,GO:0008584,biological_process
ACE,GO:0009410,biological_process
ACE,GO:0009792,biological_process
ACE,GO:0010608,biological_process
ACE,GO:0010629,biological_process
ACE,GO:0030324,biological_process
ACE,GO:0031100,biological_process
ACE,GO:0031667,biological_process
ACE,GO:0032496,biological_process
ACE,GO:0032943,biological_process
ACE,GO:0034616,biological_process
ACE,GO:0042310,biological_process
ACE,GO:0042755,biological_process
ACE,GO:0043065,biological_process
ACE,GO:0043171,biological_process
ACE,GO:0045777,biological_process
ACE,GO:0045907,biological_process
ACE,GO:0046325,biological_process
ACE,GO:0048286,biological_process
ACE,GO:0050435,biological_process
ACE,GO:0050769,biological_process
ACE,GO:0060177,biological_process
ACE,GO:0060218,biological_process
ACE,GO:0060978,biological_process
ACE,GO:0071333,biological_process
ACE,GO:0071548,biological_process
ACE,GO:0071838,biological_process
ACE,GO:0090281,biological_process
ACE,GO:0097066,biological_process
ACE,GO:0097746,biological_process
ACE,GO:1902033,biological_process
ACE,GO:1903597,biological_process
ACE,GO:1904045,biological_process
ACE,GO:0005768,cellular_component
ACE,GO:0009925,cellular_component
ACE,GO:0031526,cellular_component
ACE,GO:0031982,cellular_component
ACE,GO:0097225,cellular_component
ACOT11,GO:0008289,molecular_function
ACOT11,GO:0016790,molecular_function
ACOT11,GO:0005737,cellular_component
ACOT11,GO:0006629,biological_process
ACOT11,GO:0005829,cellular_component
ACOT11,GO:0016787,molecular_function
ACOT11,GO:0005739,cellular_component
ACOT11,GO:0005759,cellular_component
ACOT11,GO:0006631,biological_process
ACOT11,GO:0035556,biological_process
ACOT11,GO:0005515,molecular_function
ACOT11,GO:0052689,molecular_function
ACOT11,GO:0047617,molecular_function
ACOT11,GO:0070062,cellular_component
ACOT11,GO:0016290,molecular_function
ACOT11,GO:0102991,molecular_function
ACOT11,GO:0006637,biological_process
ACOT11,GO:0120163,biological_process
ACOT11,GO:0009266,biological_process
ACOT11,GO:0052816,molecular_function
ACOT11,GO:0009409,biological_process
ACSS3,GO:0006629,biological_process
ACSS3,GO:0043231,cellular_component
ACSS3,GO:0000166,molecular_function
ACSS3,GO:0005524,molecular_function
ACSS3,GO:0005739,cellular_component
ACSS3,GO:0005759,cellular_component
ACSS3,GO:0016874,molecular_function
ACSS3,GO:0005515,molecular_function
ACSS3,GO:0003987,molecular_function
ACSS3,GO:0016405,molecular_function
ACSS3,GO:0016878,molecular_function
ACSS3,GO:0050218,molecular_function
ACSS3,GO:0047760,molecular_function
ACSS3,GO:0046951,biological_process
ADAM11,GO:0006508,biological_process
ADAM11,GO:0008237,molecular_function
ADAM11,GO:0004222,molecular_function
ADAM11,GO:0016020,cellular_component
ADAM11,GO:0042995,cellular_component
ADAM11,GO:0005886,cellular_component
ADAM11,GO:0045202,cellular_component
ADAM11,GO:0043204,cellular_component
ADAM11,GO:0030424,cellular_component
ADAM11,GO:0042734,cellular_component
ADAM11,GO:0062023,cellular_component
ADAM11,GO:0045184,biological_process
ADAM11,GO:0005178,molecular_function
ADAM11,GO:0007229,biological_process
ADAM11,GO:0033555,biological_process
ADAM11,GO:0061367,biological_process
ADAM11,GO:0061368,biological_process
ADAMTS12,GO:0006508,biological_process
ADAMTS12,GO:0008237,molecular_function
ADAMTS12,GO:0004222,molecular_function
ADAMTS12,GO:0030198,biological_process
