Gene name,GO term accession,GO domain
ADHFE1,GO:0046872,molecular_function
ADHFE1,GO:0016491,molecular_function
ADHFE1,GO:0004022,molecular_function
ADHFE1,GO:0006629,biological_process
ADHFE1,GO:0005739,cellular_component
ADHFE1,GO:0047988,molecular_function
ADHFE1,GO:0005759,cellular_component
ADHFE1,GO:0006103,biological_process
ADHFE1,GO:0006539,biological_process
ADHFE1,,
AGFG1,GO:0005096,molecular_function
AGFG1,GO:0005634,cellular_component
AGFG1,GO:0051028,biological_process
AGFG1,GO:0031410,cellular_component
AGFG1,GO:0043231,cellular_component
AGFG1,GO:0046872,molecular_function
AGFG1,GO:0003677,molecular_function
AGFG1,GO:0030154,biological_process
AGFG1,GO:0005515,molecular_function
AGFG1,GO:0007283,biological_process
AGFG1,GO:0005737,cellular_component
AGFG1,GO:0045109,biological_process
AGFG1,GO:0005829,cellular_component
AGFG1,GO:0005643,cellular_component
AGFG1,GO:0003723,molecular_function
AGFG1,GO:0001675,biological_process
AGFG1,GO:0006406,biological_process
AGFG1,GO:0007289,biological_process
AGFG1,,
AIM2,GO:0002218,biological_process
AIM2,GO:0035458,biological_process
AIM2,GO:0005634,cellular_component
AIM2,GO:0005737,cellular_component
AIM2,GO:0005654,cellular_component
AIM2,GO:0005829,cellular_component
AIM2,GO:0005739,cellular_component
AIM2,GO:0003677,molecular_function
AIM2,GO:0006974,biological_process
AIM2,GO:0005515,molecular_function
AIM2,GO:0002376,biological_process
AIM2,GO:0045087,biological_process
AIM2,GO:0006954,biological_process
AIM2,GO:0042802,molecular_function
AIM2,GO:0061702,cellular_component
AIM2,GO:0035861,cellular_component
AIM2,GO:0032731,biological_process
AIM2,GO:0032088,biological_process
AIM2,GO:0051607,biological_process
AIM2,GO:0003690,molecular_function
AIM2,GO:0006955,biological_process
AIM2,GO:0051092,biological_process
AIM2,GO:0007420,biological_process
AIM2,GO:0035591,molecular_function
AIM2,GO:0038187,molecular_function
AIM2,GO:0051898,biological_process
AIM2,GO:0071466,biological_process
AIM2,GO:0140608,molecular_function
AIM2,GO:0002221,biological_process
AIM2,GO:0002230,biological_process
AIM2,GO:0033209,biological_process
AIM2,GO:0043029,biological_process
AIM2,GO:0050729,biological_process
AIM2,GO:0050795,biological_process
AIM2,GO:0070050,biological_process
AIM2,GO:0070269,biological_process
AIM2,GO:0140970,
AIM2,GO:1904270,biological_process
AIM2,GO:2001056,biological_process
AIM2,GO:0097169,cellular_component
AIM2,,
AKT1,GO:0005524,molecular_function
AKT1,GO:0006468,biological_process
AKT1,GO:0004674,molecular_function
AKT1,GO:0004672,molecular_function
AKT1,GO:0005515,molecular_function
AKT1,GO:0010628,biological_process
AKT1,GO:0005634,cellular_component
AKT1,GO:0005737,cellular_component
AKT1,GO:0016020,cellular_component
AKT1,GO:0032991,cellular_component
AKT1,GO:0000166,molecular_function
AKT1,GO:0016301,molecular_function
AKT1,GO:0016740,molecular_function
AKT1,GO:0016310,biological_process
AKT1,GO:0043066,biological_process
AKT1,GO:0007165,biological_process
AKT1,GO:0005654,cellular_component
AKT1,GO:0005886,cellular_component
AKT1,GO:0006915,biological_process
AKT1,GO:0006417,biological_process
AKT1,GO:0005829,cellular_component
AKT1,GO:0030154,biological_process
AKT1,GO:0042803,molecular_function
AKT1,GO:0005975,biological_process
AKT1,GO:0005977,biological_process
AKT1,GO:0015630,cellular_component
AKT1,GO:0007399,biological_process
AKT1,GO:0106310,molecular_function
AKT1,GO:0098794,cellular_component
AKT1,GO:0006606,biological_process
AKT1,GO:0031982,cellular_component
AKT1,GO:0008643,biological_process
AKT1,GO:0006006,biological_process
AKT1,GO:0008284,biological_process
