gene,cluster
ACOT11,4
ACSS3,2
ADAM11,2
ADAMTS12,2
ALDH1L1,4
AMIGO2,1
ANGPTL2,2
ANK1,2
AOX1,2
APC,2
ATOH1,5
BMP7,2
CA3,2
CALD1,2
CARTPT,2
CAV1,2
CBX5,2
CCDC8,1
CD9,2
CDH23,2
CDO1,4
CFTR,2
CLDN10,2
COL7A1,2
CXCL1,2
CXCL5,2
CYBA,2
DAB1,1
DCTN1,2
DUOX1,2
EFEMP1,2
ENPP2,4
EPHX3,4
EYA4,2
FAIM2,1
FBN1,2
FBN2,2
FGF8,2
FLRT2,5
FOXG1,2
GCM2,2
GIT1,2
GLI3,2
GREM1,2
GSTM2,2
HAAO,2
HES5,5
HIF3A,5
HOXA7,2
ICAM4,2
IFNGR2,2
IL1B,2
JDP2,2
KCNH2,2
KRT7,2
LAYN,2
LDB1,2
LPAR1,2
LTF,2
MACF1,2
MAGI2,2
MIR9-1,5
NAT8L,2
NFATC3,2
NID2,2
NR1H3,2
NUAK1,2
PAX3,2
PDE4B,2
PDPN,2
PER1,2
PFKP,2
PHOX2A,2
PLTP,5
PON3,2
POU3F3,5
PPT2,4
PROM1,2
RARA,2
RARB,5
RARRES1,2
RARRES2,2
RASSF5,1
RBP1,2
REC8,2
RHCG,2
SCGB3A1,2
SEMA5A,2
SFRP5,1
SIM1,2
SIX2,2
SLC13A3,2
SLC2A2,3
SLC4A11,2
SLC5A7,3
SLC6A3,2
SLCO4C1,3
SLFN11,2
SOSTDC1,2
SPARC,2
SPRY4,2
SSTR4,2
TAC1,2
TAGLN,1
THBS4,2
TIAM1,2
TIMP2,2
TMEM106A,2
TUBA4B,5
TXNRD1,2
VANGL2,1
VIPR2,5
WFDC2,2
WFDC5,2
WIPF1,2
ZFP42,2
