gene,cluster
ACE,3
ACOT11,3
ACSS3,4
ADAM11,3
ADAMTS12,1
AFAP1L1,1
ALDH1L1,3
ALOX12,4
AMIGO2,2
ANGPTL2,1
ANK1,1
ANXA2,4
AOX1,4
APC,1
ATOH1,5
B3GAT1,4
BARD1,1
BMP7,1
CA3,1
CALD1,1
CARTPT,1
CAV1,4
CBX5,1
CCDC8,2
CCK,1
CCND2,4
CD200,1
CD248,1
CD44,4
CD9,1
CDH23,1
CDKN1B,4
CDO1,3
CDX2,0
CFTR,4
CLDN10,1
CNN3,4
COL5A2,3
COL7A1,1
CPVL,3
CUL1,4
CX3CL1,1
CXCL1,4
CXCL5,1
CYB5R2,4
CYBA,4
DAB1,2
DCTN1,1
DSE,3
DUOX1,4
E2F8,0
EFEMP1,4
EFS,1
ENPP2,3
EPHX3,3
ESRRG,0
EYA4,1
FAIM2,2
FBN1,4
FBN2,4
FBXO17,1
FGF8,4
FLOT1,1
FLRT2,3
FOXG1,0
GCM2,0
GCNT2,3
GFRA3,1
GIT1,4
GJA3,3
GLI3,0
GPR150,3
GREM1,4
GRHL3,0
GSTM2,4
GSX2,5
HAAO,4
HES5,5
HIF3A,5
HOXA7,0
HOXC4,0
ICAM4,4
IFNGR2,4
IGF2BP2,4
IKZF1,0
IL1B,1
JDP2,0
KCNH2,4
KLK13,4
KRT7,1
LAMA2,3
LAYN,3
LDB1,1
LMNA,1
LPAR1,4
LRRC4,2
LTF,4
MACF1,1
MAGI2,1
MAPK10,4
MARVELD1,3
MIR9-1,3
MMP14,4
NAT8L,4
NDRG2,1
NEU1,4
NFATC3,0
NID2,1
NR1H3,0
NRG1,4
NSD1,4
NUAK1,1
PAH,3
PAX3,0
PDE4B,4
PDGFRB,4
PDLIM4,1
PDPN,1
PER1,0
PFKP,4
PHOX2A,0
PLTP,3
PON3,3
POU3F3,0
PPT2,3
PROM1,1
PYCARD,1
RARA,0
RARB,5
RARRES1,1
RARRES2,1
RASSF5,2
RBP1,4
REC8,1
RGMA,1
RHCG,4
RUSC1,1
SCGB3A1,1
SEMA5A,4
SERPINB1,4
SFRP5,2
SIM1,0
SIX2,0
SLC13A3,4
SLC17A9,4
SLC2A2,3
SLC4A11,3
SLC5A7,3
SLC6A3,4
SLCO4C1,3
SLFN11,4
SOSTDC1,4
SPARC,4
SPRY4,1
SSTR4,4
TAC1,4
TACC2,4
TAGLN,2
TET2,4
THBS4,4
TIAM1,1
TIMP2,4
TMEM106A,1
TUBA4B,3
TXNRD1,4
VANGL2,2
VIPR2,3
VWCE,1
WFDC2,4
WFDC5,1
WIF1,1
WIPF1,1
ZFP42,0
ZNF154,5
ZSCAN12,0
