gene,cluster
ACE,6
ACOT11,3
ACSS3,6
ADAM11,6
ADAMTS12,7
AFAP1L1,7
ALDH1L1,3
ALOX12,6
AMIGO2,4
ANGPTL2,7
ANK1,7
ANXA2,7
AOX1,6
APC,7
ATOH1,1
B3GAT1,7
BARD1,7
BMP7,7
CA3,7
CALD1,7
CARTPT,7
CAV1,7
CBX5,7
CCDC8,4
CCK,7
CCND2,7
CD200,7
CD248,7
CD44,7
CD9,7
CDH23,7
CDKN1B,7
CDO1,2
CDX2,5
CFTR,6
CLDN10,7
CNN3,2
COL5A2,2
COL7A1,7
CPVL,3
CUL1,7
CX3CL1,7
CXCL1,7
CXCL5,7
CYB5R2,7
CYBA,7
DAB1,4
DCTN1,7
DSE,3
DUOX1,7
E2F8,5
EFEMP1,7
EFS,7
ENPP2,3
EPHX3,3
ESRRG,5
EYA4,7
FAIM2,4
FBN1,7
FBN2,7
FBXO17,7
FGF8,6
FLOT1,7
FLRT2,2
FOXG1,5
GCM2,5
GCNT2,3
GFRA3,7
GIT1,7
GJA3,3
GLI3,5
GPR150,2
GREM1,7
GRHL3,5
GSTM2,7
GSX2,1
HAAO,6
HES5,1
HIF3A,1
HOXA7,5
HOXC4,5
ICAM4,6
IFNGR2,7
IGF2BP2,7
IKZF1,5
IL1B,7
JDP2,5
KCNH2,7
KLK13,6
KRT7,7
LAMA2,2
LAYN,2
LDB1,7
LMNA,7
LPAR1,7
LRRC4,4
LTF,6
MACF1,7
MAGI2,7
MAPK10,7
MARVELD1,2
MIR9-1,2
MMP14,6
NAT8L,7
NDRG2,7
NEU1,6
NFATC3,5
NID2,7
NR1H3,5
NRG1,6
NSD1,6
NUAK1,7
PAH,3
PAX3,5
PDE4B,6
PDGFRB,7
PDLIM4,7
PDPN,7
PER1,5
PFKP,7
PHOX2A,5
PLTP,2
PON3,2
POU3F3,5
PPT2,3
PROM1,7
PYCARD,7
RARA,5
RARB,1
RARRES1,7
RARRES2,7
RASSF5,4
RBP1,7
REC8,7
RGMA,7
RHCG,7
RUSC1,7
SCGB3A1,7
SEMA5A,6
SERPINB1,7
SFRP5,4
SIM1,5
SIX2,5
SLC13A3,6
SLC17A9,6
SLC2A2,3
SLC4A11,6
SLC5A7,3
SLC6A3,6
SLCO4C1,3
SLFN11,7
SOSTDC1,2
SPARC,7
SPRY4,7
SSTR4,7
TAC1,6
TACC2,6
TAGLN,4
TET2,6
THBS4,7
TIAM1,7
TIMP2,6
TMEM106A,7
TUBA4B,2
TXNRD1,7
VANGL2,4
VIPR2,2
VWCE,7
WFDC2,7
WFDC5,7
WIF1,7
WIPF1,7
ZFP42,5
ZNF154,1
ZSCAN12,5
