"","CLDN9","COL7A1","KCNH2","LDB1","MTMR7","NR1H3","RARRES1","SIX2","ZFP42","ZSCAN12"
"CLDN9",1,0.678,0.514,0.734,0.454,0.428,0.663,0.506,0.506,0.598
"COL7A1",0.678,1,0.436,0.678,0.371,0.367,0.569,0.43,0.43,0.509
"KCNH2",0.514,0.436,1,0.563,0.373,0.519,0.43,0.501,0.501,0.495
"LDB1",0.734,0.678,0.563,1,0.516,0.482,0.669,0.553,0.553,0.624
"MTMR7",0.454,0.371,0.373,0.516,1,0.301,0.36,0.325,0.325,0.349
"NR1H3",0.428,0.367,0.519,0.482,0.301,1,0.359,0.843,0.843,0.832
"RARRES1",0.663,0.569,0.43,0.669,0.36,0.359,1,0.419,0.419,0.494
"SIX2",0.506,0.43,0.501,0.553,0.325,0.843,0.419,1,1,0.929
"ZFP42",0.506,0.43,0.501,0.553,0.325,0.843,0.419,1,1,0.929
"ZSCAN12",0.598,0.509,0.495,0.624,0.349,0.832,0.494,0.929,0.929,1
