"","ADHFE1","AGFG1","AIM2","AKT1","ALDH1A3","APCS","ATG16L1","ATN1","BDH2","CADM3","CAPN2","CASP5","CASP8","CATSPER1","CCL1","CCL11","CCL7","CCL8","CD1C","CD1D","CD5L","CD84","CDH17","CEACAM4","CFLAR","COMT","COX6C","CYP2C9","DCC","DCD","DLC1","DLX2","E2F6","ENOSF1","ESR1","FABP1","FCRL3","FSD1","FUS","FXN","GDF5","GFM1","GPR37L1","GRIA1","HJURP","HMGCL","HOXD9","HTR2A","IFI16","IMMP2L","ITGBL1","KLK2","LCE4A","LRP1B","LUC7L3","MARCO","MARK4","MED25","MIR134","MIR379","MIR488","MIR758","MUC16","MYT1","MYT1L","NIPSNAP1","NUP43","OPN5","OR10A4","PAWR","PAX4","PDGFD","PFDN4","PHC3","PIWIL1","PMEPA1","POLR3A","PPP2CB","PRDM2","PRG2","PROKR2","PSMD8","RAB17","RBM45","RELB","RETNLB","RFX2","RGS10","SCN7A","SLC12A5","SLC35B4","SMAP1","SPRR1B","SPRR2A","SPRR3","STEAP2","TCN1","TIPIN","TM9SF4","TMPRSS2","TRIM68","TYR","UBE2V2","UBE4B","UNC13C","WARS2","YOD1","YTHDC1","ZBTB32"
"ADHFE1",1,0.122,0.101,0.121,0.254,0.116,0.158,0.124,0.372,0.122,0.152,0.156,0.147,0.112,0.048,0.092,0.094,0.12,0.108,0.109,0.137,0.13,0.099,0.061,0.123,0.17,0.147,0.416,0.13,0.117,0.114,0.101,0.098,0.163,0.093,0.164,0.087,0.093,0.109,0.159,0.111,0.115,0.107,0.086,0.126,0.141,0.092,0.102,0.111,0.211,0.081,0.137,0.13,0.13,0.111,0.141,0.111,0.096,0.052,0.052,0.053,0.053,0.147,0.116,0.095,0.147,0.147,0.063,0.087,0.111,0.079,0.071,0.12,0.133,0.118,0.122,0.141,0.14,0.094,0.13,0.124,0.147,0.117,0.122,0.105,0.329,0.105,0.12,0.036,0.05,0.1,0.071,0.21,0.139,0.185,0.292,0.161,0.122,0.147,0.151,0.121,0.169,0.147,0.114,0.093,0.151,0.177,0.104,0.092
"AGFG1",0.122,1,0.539,0.434,0.283,0.661,0.586,0.655,0.51,0.725,0.558,0.444,0.477,0.597,0.357,0.612,0.6,0.486,0.527,0.605,0.099,0.778,0.558,0.517,0.543,0.45,1,0.245,0.625,0.775,0.62,0.518,0.503,0.211,0.517,0.588,0.49,0.598,0.632,0.447,0.707,0.795,0.45,0.382,0.78,0.276,0.311,0.497,0.896,0.133,0.531,0.099,0.778,0.625,0.969,0.36,0.495,0.618,0.605,0.605,0.67,0.67,1,0.22,0.146,1,1,0.193,0.147,0.643,0.454,0.573,0.71,0.731,0.757,0.644,0.508,0.62,0.314,0.625,0.618,1,0.531,1,0.581,0.467,0.578,0.557,0.069,0.085,0.499,0.119,0.306,0.717,0.658,0.112,0.623,0.847,1,0.509,0.554,0.584,1,0.481,0.598,0.11,0.429,0.949,0.534
"AIM2",0.101,0.539,1,0.429,0.272,0.568,0.59,0.487,0.407,0.519,0.446,0.377,0.454,0.437,0.237,0.5,0.471,0.41,0.436,0.511,0.099,0.581,0.456,0.517,0.437,0.381,1,0.204,0.558,0.497,0.468,0.523,0.475,0.164,0.551,0.465,0.46,0.48,0.494,0.39,0.578,0.48,0.499,0.44,0.604,0.243,0.332,0.555,0.652,0.11,0.531,0.099,0.581,0.451,0.533,0.499,0.491,0.481,0.226,0.226,0.37,0.37,1,0.182,0.122,1,1,0.214,0.491,0.51,0.402,0.573,0.536,0.529,0.462,0.497,0.405,0.467,0.293,0.451,0.53,1,0.414,0.539,0.497,0.467,0.545,0.445,0.069,0.072,0.4,0.119,0.306,0.497,0.485,0.09,0.475,0.604,1,0.406,0.515,0.524,1,0.346,0.405,0.11,0.378,0.528,0.517
"AKT1",0.121,0.434,0.429,1,0.317,0.497,0.556,0.461,0.437,0.491,0.468,0.44,0.506,0.415,0.205,0.462,0.434,0.618,0.421,0.466,0.247,0.487,0.428,0.608,0.506,0.454,1,0.232,0.421,0.432,0.464,0.384,0.387,0.197,0.548,0.468,0.358,0.398,0.471,0.401,0.495,0.41,0.392,0.371,0.502,0.247,0.162,0.436,0.445,0.179,0.531,0.247,0.487,0.421,0.427,0.302,0.662,0.439,0.138,0.138,0.238,0.238,1,0.178,0.113,1,1,0.134,0.147,0.496,0.184,0.573,0.467,0.46,0.412,0.447,0.467,0.466,0.188,0.421,0.42,1,0.446,0.434,0.423,0.467,0.393,0.455,0.069,0.066,0.399,0.401,0.306,0.452,0.448,0.104,0.446,0.434,1,0.445,0.573,0.503,1,0.406,0.382,0.151,0.465,0.42,0.384
"ALDH1A3",0.254,0.283,0.272,0.317,1,0.359,0.359,0.293,0.349,0.491,0.288,0.247,0.309,0.26,0.126,0.327,0.267,0.25,0.253,0.298,0.11,0.397,0.263,0.245,0.258,0.258,0.576,0.372,0.27,0.259,0.276,0.207,0.21,0.16,0.265,0.295,0.214,0.331,0.279,0.268,0.371,0.241,0.218,0.192,0.402,0.17,0.111,0.269,0.285,0.171,0.303,0.11,0.397,0.27,0.263,0.2,0.251,0.275,0.084,0.084,0.116,0.116,0.576,0.123,0.089,0.576,0.576,0.083,0.077,0.297,0.115,0.284,0.322,0.324,0.242,0.293,0.25,0.293,0.115,0.27,0.267,0.576,0.246,0.283,0.25,0.296,0.213,0.265,0.034,0.048,0.23,0.065,0.187,0.306,0.314,0.216,0.29,0.283,0.576,0.26,0.403,0.481,0.576,0.21,0.237,0.122,0.267,0.249,0.2
"APCS",0.116,0.661,0.568,0.497,0.359,1,0.651,0.657,0.552,0.71,0.599,0.53,0.549,0.628,0.322,0.627,0.624,0.549,0.575,0.621,0.099,0.772,0.72,0.517,0.59,0.534,1,0.21,0.642,0.594,0.637,0.5,0.516,0.316,0.525,0.62,0.462,0.629,0.569,0.582,0.73,0.564,0.526,0.461,0.773,0.431,0.189,0.571,0.637,0.126,0.531,0.099,0.772,0.642,0.62,0.381,0.533,0.634,0.211,0.211,0.238,0.238,1,0.29,0.14,1,1,0.192,0.147,0.649,0.241,0.573,0.732,0.699,0.563,0.65,0.575,0.637,0.264,0.642,0.639,1,0.581,0.661,0.59,0.467,0.51,0.598,0.069,0.083,0.57,0.119,0.306,0.688,0.658,0.103,0.615,0.661,1,0.575,0.624,0.709,1,0.494,0.553,0.11,0.506,0.587,0.524
"ATG16L1",0.158,0.586,0.59,0.556,0.359,0.651,1,0.59,0.509,0.642,0.612,0.557,0.606,0.548,0.291,0.577,0.561,0.56,0.514,0.577,0.296,0.712,0.536,0.517,0.56,0.573,1,0.261,0.564,0.528,0.569,0.438,0.449,0.226,0.509,0.565,0.462,0.587,0.517,0.468,0.68,0.502,0.46,0.406,0.722,0.275,0.188,0.501,0.576,0.263,0.531,0.296,0.712,0.564,0.549,0.366,0.621,0.573,0.18,0.18,0.238,0.238,1,0.205,0.14,1,1,0.163,0.147,0.613,0.216,0.573,0.634,0.638,0.505,0.59,0.564,0.625,0.204,0.564,0.56,1,0.514,0.586,0.524,0.467,0.448,0.539,0.069,0.083,0.493,0.119,0.306,0.617,0.601,0.141,0.559,0.586,1,0.58,0.732,0.62,1,0.627,0.5,0.177,0.571,0.52,0.426
"ATN1",0.124,0.655,0.487,0.461,0.293,0.657,0.59,1,0.502,0.705,0.567,0.47,0.502,0.602,0.354,0.617,0.604,0.519,0.539,0.607,0.099,0.747,0.566,0.517,0.592,0.475,1,0.198,0.625,0.56,0.672,0.501,0.502,0.204,0.524,0.604,0.481,0.575,0.677,0.466,0.698,0.518,0.471,0.421,0.754,0.278,0.261,0.477,0.622,0.134,0.531,0.099,0.747,0.625,0.594,0.38,0.498,0.618,0.208,0.208,0.238,0.238,1,0.306,0.226,1,1,0.182,0.147,0.865,0.275,0.573,0.697,0.713,0.517,0.666,0.527,0.62,0.28,0.625,0.619,1,0.537,0.655,0.593,0.467,0.513,0.584,0.069,0.088,0.52,0.203,0.306,0.698,0.663,0.113,0.597,0.655,1,0.528,0.56,0.589,1,0.481,0.575,0.11,0.45,0.551,0.464
"BDH2",0.372,0.51,0.407,0.437,0.349,0.552,0.509,0.502,1,0.523,0.469,0.388,0.454,0.438,0.253,0.513,0.48,0.42,0.437,0.524,0.137,0.559,0.461,0.517,0.441,0.398,1,0.439,0.457,0.464,0.477,0.368,0.367,0.219,0.467,0.472,0.401,0.428,0.431,0.43,0.56,0.432,0.376,0.339,0.591,0.262,0.199,0.417,0.522,0.184,0.531,0.137,0.559,0.457,0.484,0.322,0.474,0.493,0.199,0.199,0.256,0.256,1,0.194,0.129,1,1,0.166,0.147,0.527,0.244,0.573,0.562,0.556,0.423,0.513,0.409,0.49,0.218,0.457,0.452,1,0.45,0.51,0.439,0.467,0.392,0.45,0.069,0.074,0.391,0.119,0.306,0.518,0.499,0.233,0.516,0.51,1,0.417,0.496,0.529,1,0.36,0.428,0.151,0.408,0.464,0.373
"CADM3",0.122,0.725,0.519,0.491,0.491,0.71,0.642,0.705,0.523,1,0.6,0.486,0.51,0.66,0.382,0.661,0.642,0.522,0.563,0.63,0.099,0.876,0.594,0.517,0.585,0.492,1,0.194,0.688,0.592,0.67,0.452,0.47,0.21,0.504,0.639,0.512,0.716,0.525,0.478,0.773,0.543,0.485,0.408,0.859,0.275,0.193,0.504,0.664,0.132,0.531,0.099,0.876,0.688,0.639,0.382,0.51,0.659,0.226,0.226,0.238,0.238,1,0.219,0.145,1,1,0.192,0.147,0.679,0.238,0.573,0.752,0.781,0.541,0.686,0.559,0.67,0.209,0.688,0.681,1,0.57,0.725,0.586,0.467,0.466,0.598,0.069,0.084,0.549,0.119,0.306,0.78,0.721,0.112,0.63,0.725,1,0.559,0.664,0.741,1,0.528,0.646,0.11,0.46,0.581,0.435
