gene,cluster
THBS4,0
CDH23,0
PROM1,1
PDLIM4,1
RUSC1,1
MACF1,1
CNN3,1
CALD1,1
LDB1,2
B3GAT1,2
NEU1,3
LRRC4,3
TIAM1,3
GIT1,3
DCTN1,3
SPRY4,3
CCND2,3
APC,3
FBXO17,3
SLFN11,3
MIR9-1,3
IGF2BP2,3
BARD1,3
EYA4,3
RASSF5,3
KLK13,3
MMP14,3
ADAMTS12,3
VANGL2,3
RBP1,3
GSTM2,3
SOSTDC1,3
NUAK1,3
MAPK10,3
PDGFRB,3
EFEMP1,3
RGMA,3
GFRA3,3
SSTR4,3
LPAR1,3
VIPR2,3
GPR150,3
IFNGR2,3
LAYN,3
CD44,3
TAGLN,3
DUOX1,3
CYBA,3
TXNRD1,3
CYB5R2,3
PFKP,3
PDE4B,3
HAAO,3
TET2,3
CDO1,3
ALOX12,3
PON3,3
AOX1,3
PLTP,3
TUBA4B,3
MARVELD1,3
LAMA2,3
COL5A2,3
DSE,3
GCNT2,3
PAH,3
ALDH1L1,3
CPVL,3
ACE,3
ENPP2,3
EPHX3,3
PPT2,3
ACOT11,3
PYCARD,3
TIMP2,3
WFDC5,3
WFDC2,3
SERPINB1,3
RARRES1,3
LTF,3
CCDC8,3
TACC2,3
NSD1,3
PER1,3
RARA,3
GLI3,3
ZSCAN12,3
IKZF1,3
SIM1,3
FOXG1,3
ESRRG,3
NR1H3,3
HOXA7,3
GRHL3,3
GCM2,3
NFATC3,3
PHOX2A,3
HOXC4,3
ZFP42,3
SIX2,3
JDP2,3
CDX2,3
E2F8,3
PAX3,3
POU3F3,3
RARB,3
ZNF154,3
HIF3A,3
HES5,3
GSX2,3
ATOH1,3
FAIM2,3
KCNH2,3
ANXA2,3
RHCG,3
TAC1,3
SLC6A3,3
SLC13A3,3
SLC4A11,3
SLC5A7,3
SLCO4C1,3
SLC2A2,3
GJA3,3
CFTR,3
SLC17A9,3
AMIGO2,3
MAGI2,3
CDKN1B,3
FLRT2,3
CUL1,3
CBX5,3
CAV1,3
ANK1,3
DAB1,3
ACSS3,3
WIF1,4
SFRP5,4
NAT8L,4
LMNA,5
KRT7,5
NID2,5
FBN2,5
SPARC,5
FBN1,5
COL7A1,5
WIPF1,5
CD248,5
VWCE,5
TMEM106A,5
NDRG2,5
CARTPT,5
CA3,6
CD9,6
PDPN,6
RARRES2,6
ANGPTL2,6
REC8,6
FLOT1,6
CLDN10,6
EFS,6
AFAP1L1,6
CXCL5,7
IL1B,7
SCGB3A1,7
BMP7,7
CCK,7
GREM1,7
SEMA5A,7
FGF8,7
CXCL1,7
CX3CL1,7
NRG1,7
ICAM4,7
ADAM11,7
