CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc,cluster
cg04380340,0.43991029672651,0.490110160235225,13.9747177870773,3.04505500844792e-38,7.78766090722739e-36,75.7820491539669,0.0897601419913145,0.529670438717825,0.43991029672651,2,201450506,R,II,AOX1,TSS1500,shore,TSS1500-shore,chr2:201450526-201451027,True,True,,,,0.4970315017271334,hyper,0.1,0.967741935483871,0.9543147208121826,0.9310671936758892,8
cg18759209,0.355188592086869,0.512328197641325,16.3304227413169,3.03275565909797e-49,6.7113990748879514e-46,101.003320393197,0.189081025706153,0.544269617793022,0.355188592086869,20,55842071,R,I,BMP7,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,True,,,,,0.4075977812746775,hyper,0.29,0.959349593495935,0.9375,0.9509881422924902,2
cg03576469,0.472785931475506,0.621988235775476,17.0832107588338,6.83629264534648e-53,3.1751203390649e-49,109.369499853174,0.191719024756399,0.664504956231906,0.472785931475507,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.5498279871805059,hyper,0.38,0.9613034623217924,0.9263157894736842,0.9135177865612648,4
cg05385513,0.476907781340765,0.636862005956573,16.8155244682466,1.37318387380843e-51,5.11483801233761e-48,106.380412749202,0.202841615024151,0.679749396364915,0.476907781340765,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,True,,,,,0.5764755749995764,hyper,0.37,0.952965235173824,0.9319371727748692,0.9244268774703558,2
cg02156680,0.430787277232662,0.531705565629572,14.1179052633775,6.85406790098174e-39,1.9774038456202698e-36,77.2658785594729,0.139658151457401,0.570445428690064,0.430787277232663,8,120651317,R,II,ENPP2,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.5184247614536964,hyper,0.28,0.9330543933054394,0.9148936170212766,0.9127272727272728,7
cg08151731,0.336210954424922,0.445854154545874,13.8524041929654,1.0823526386967e-37,2.49501516201527e-35,74.5202745230205,0.139877998180748,0.476088952605669,0.336210954424921,15,48938576,F,II,FBN1,TSS1500,island,TSS1500-island,chr15:48936810-48938577,,,,,,0.3843841428202315,hyper,0.21,0.9551020408163268,0.9375,0.926798418972332,1
cg27223047,0.398303501092994,0.628811969815638,14.0705817151068,1.12288627730268e-38,3.09023724910502e-36,76.7746787918566,0.266327128892877,0.664630629985871,0.398303501092994,5,127874825,F,II,FBN2,TSS1500,island,TSS1500-island,chr5:127872563-127874945,,,,rs55770077,,0.4671130895441213,hyper,0.3,0.9699398797595192,0.9424083769633508,0.9141501976284584,1
cg14117138,0.487159328486733,0.627808755769014,17.5304202466532,4.40969178723776e-55,2.91043526108383e-51,114.395220684747,0.184458719412384,0.671618047899116,0.487159328486732,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.5870461167326491,hyper,0.35,0.9635627530364372,0.9591836734693876,0.9195256916996049,2
cg20883831,0.462837738888281,0.54304106401273,16.1443561293966,2.37001714840377e-48,4.20571840243038e-45,98.9553366050009,0.121825423945337,0.584663162833619,0.462837738888281,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.5537901515578136,hyper,0.16,0.9718875502008032,0.9696969696969696,0.9356521739130436,8
cg00353923,0.348721024166242,0.471565503844602,10.2958181721422,7.201733375209721e-23,1.65243236424785e-21,40.6167516180349,0.154204284009857,0.502925308176099,0.348721024166242,7,127671044,R,II,LRRC4,TSS200,shore,TSS200-shore,chr7:127671158-127672853,True,,,,,0.3695563711438295,hyper,0.23,0.8908296943231441,0.8342857142857143,0.8977075098814228,6
cg00349607,0.384334453192931,0.517142619816911,13.7388458044174,3.49663693939461e-37,7.30125110741531e-35,73.353645561916,0.167370617450682,0.551705070643613,0.384334453192931,1,39546688,R,I,MACF1,TSS1500,shore,TSS1500-shore,chr1:39547013-39547959,True,,,,,0.436877342224263,hyper,0.17,0.972,0.9702970297029702,0.9231620553359684,7
cg19300568,0.365708439612021,0.499882225250407,14.431128927791,2.56275560364551e-40,9.65086558427887e-38,80.5363035270092,0.167061235243784,0.532769674855805,0.365708439612021,4,2060112,F,I,NAT8L,TSS1500,island,TSS1500-island,chr4:2059928-2063181,,,,,,0.3948320675588586,hyper,0.33,0.9327731092436976,0.9263157894736842,0.9326482213438736,9
cg12727795,0.343961943338011,0.497204717243409,13.9541787112068,3.76913296142856e-38,9.44681322954185e-36,75.5697974374791,0.184174603342269,0.528136546680281,0.343961943338012,5,149535695,F,II,PDGFRB,TSS1500,opensea,TSS1500-opensea,,,,,,,0.3980224237477301,hyper,0.32,0.9397089397089397,0.8972972972972972,0.9049802371541502,2
cg24530250,0.3732246861303,0.46498006372289,11.4967767735769,1.37674960245324e-27,5.88702073415458e-26,51.394498858506,0.125318748647472,0.498543434777773,0.373224686130301,11,71955599,R,I,PHOX2A,TSS1500,island,TSS1500-island,chr11:71954816-71955659,True,,,,,0.426155064015404,hyper,0.11,0.9698189134808854,0.97,0.9114624505928852,2
cg23230584,0.383742780231977,0.489381655860523,16.945545236263,3.20390116365217e-52,1.31013438833887e-48,107.830407207345,0.140148118455162,0.52389089868714,0.383742780231978,7,95025740,F,I,PON3,TSS200,island,TSS200-island,chr7:95025559-95026122,,,,,,0.4733573277568517,hyper,0.29,0.952965235173824,0.9375,0.916205533596838,9
cg14130039,0.431070513466739,0.582808575791412,15.174808676794,9.24263024229958e-44,6.69966032813933e-41,88.427837877297,0.190503396269524,0.621573909736263,0.431070513466739,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.5089701941531155,hyper,0.21,0.9699398797595192,0.964467005076142,0.9154150197628458,10
cg04203238,0.397378973302641,0.563978376071398,16.3109909488247,3.7605774640740594e-49,8.17773436342186e-46,100.789052579295,0.202334921950649,0.599713895253291,0.397378973302641,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.4903926109564518,hyper,0.41,0.9484536082474228,0.9032258064516128,0.9190513833992096,1
cg03053374,0.365698414119069,0.488272664066257,16.8105942262511,1.45099198237225e-51,5.35167096792501e-48,106.325501297656,0.155460797979479,0.521159212098548,0.365698414119068,17,38465422,R,II,RARA,TSS200,opensea,TSS200-opensea,,,,,,,0.443729351332617,hyper,0.21,0.9699398797595192,0.964467005076142,0.9282213438735178,2
cg27494647,0.396712068658466,0.614217820047713,15.992248425408,1.26476312772794e-47,1.96615790275574e-44,97.2874104913349,0.253181297131915,0.649893365790381,0.396712068658466,7,150038898,F,I,RARRES2,TSS200,island,TSS200-island,chr7:150037459-150039031,True,,,,,0.466097955363565,hyper,0.37,0.9572301425661914,0.9381443298969072,0.9255335968379446,7
cg15229124,0.354439553507262,0.538597802437299,14.2539251417794,1.65159592715438e-39,5.30918310967561e-37,78.6820095448124,0.216032309497236,0.570471863004499,0.354439553507263,3,139258912,F,I,RBP1,TSS1500,shore,TSS1500-shore,chr3:139257712-139257949,,,,rs75826136,,0.4084230853486832,hyper,0.29,0.9574036511156186,0.9435897435897436,0.912411067193676,3
cg06263461,0.384253485000731,0.534546657747865,17.6457313083753,1.19398917616825e-55,8.31823514852546e-52,115.697196407427,0.184848342261589,0.56910182726232,0.384253485000731,20,45280237,F,I,SLC13A3,TSS200,shore,TSS200-shore,chr20:45279781-45280169,,,,,,0.4642343766167214,hyper,0.42,0.937759336099585,0.9263157894736842,0.9433992094861658,3
cg16703956,0.405173205052195,0.528863792317545,16.2402090586551,8.22637840371515e-49,1.61187744133836e-45,100.009323934496,0.160127026568605,0.5653002316208,0.405173205052195,5,1446217,F,I,SLC6A3,TSS1500,island,TSS1500-island,chr5:1444678-1446648,True,,,,rs2735852,0.4949436594553942,hyper,0.32,0.9549180327868853,0.9375,0.917312252964427,3
cg07676859,0.387542946473673,0.495350878800439,13.9587379207786,3.59485690451718e-38,9.046174861296901e-36,75.6168995908378,0.14265891672188,0.530201863195554,0.387542946473673,20,23015932,R,I,SSTR4,TSS200,island,TSS200-island,chr20:23015716-23016879,,,,,,0.4376602698657746,hyper,0.18,0.9570552147239264,0.9591836734693876,0.912411067193676,5
cg17437939,0.427859796152172,0.639887754668499,15.1546102386497,1.14883675497472e-43,8.20110306271851e-41,88.2112785642623,0.250504558889722,0.678364355041896,0.427859796152173,7,97361252,R,II,TAC1,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.5084797392385209,hyper,0.36,0.9637096774193548,0.9375,0.9103557312252964,5
cg08378442,0.368713650620958,0.462049803297982,14.4857177781421,1.44055351872121e-40,5.71670291677756e-38,81.1096309022251,0.126493855070996,0.495207505691953,0.368713650620958,2,220117704,F,II,TUBA4B,TSS1500,shore,TSS1500-shore,chr2:220117937-220119334,,True,,,,0.452439361568808,hyper,0.21,0.9595141700404858,0.9206349206349206,0.9133596837944664,4
