CpG,early_dbeta,later_dbeta,dbate_dif
cg10948359,0.003361158,0.200384294,-0.197023136
cg13391116,0.020856951,0.20801286,-0.187155909
cg08387285,0.020592887,0.203272799,-0.182679912
cg17329249,0.030297239,0.212088022,-0.181790783
cg09557387,0.011621782,0.188346213,-0.176724431
cg23514619,0.008719932,0.183493798,-0.174773866
cg18873530,0.005391294,0.179032017,-0.173640723
cg13499300,0.005245355,0.177655551,-0.172410196
cg07560096,0.020630122,0.191723498,-0.171093376
cg23455517,0.029842867,0.196491339,-0.166648472
cg07007152,0.001865194,0.168270788,-0.166405594
cg09193479,0.002596982,0.167793039,-0.165196057
cg13422275,-0.17593265,-0.011224035,-0.164708615
cg09986736,0.013199646,0.17697824,-0.163778594
cg21039778,0.013300559,0.176525229,-0.16322467
cg02553284,0.014587541,0.176871191,-0.16228365
cg02366534,0.009897724,0.17214428,-0.162246556
cg05387146,0.013009886,0.173575469,-0.160565583
cg20334849,0.030560902,0.188835117,-0.158274215
cg24206256,0.050440185,0.205738768,-0.155298583
cg20434586,0.040774594,0.195441934,-0.15466734
cg08584377,0.03017271,0.184826203,-0.154653493
cg14881618,0.043745358,0.198343319,-0.154597961
cg11364273,5.89e-05,0.152828112,-0.152769212
cg23935616,-0.181290428,-0.029103533,-0.152186895
cg26426142,0.005265332,0.156194665,-0.150929333
cg12266953,0.007010009,0.157557134,-0.150547125
cg23100152,-0.001982314,0.148206978,-0.150189292
cg27318157,0.037427923,0.187605611,-0.150177688
cg11032268,0.019421811,0.167412822,-0.147991011
cg19113641,0.014031117,0.161622297,-0.14759118
cg11521404,0.352753784,0.499926027,-0.147172243
cg15387132,0.043861199,0.190648264,-0.146787065
cg16463745,0.06325948,0.209876369,-0.146616889
cg23687058,0.004007176,0.150334533,-0.146327357
cg11742909,0.00604027,0.152224748,-0.146184478
cg27138281,0.007196176,0.153266688,-0.146070512
cg07441272,0.027743491,0.173666394,-0.145922903
cg13177786,-0.002430294,0.142895135,-0.145325429
cg02493939,0.020980569,0.165945495,-0.144964926
cg04751811,0.035546887,0.180176594,-0.144629707
cg10479082,0.000352414,0.144836668,-0.144484254
cg03817911,0.017100902,0.161320909,-0.144220007
cg04557544,0.005712545,0.148730814,-0.143018269
cg09166659,0.02567916,0.168231666,-0.142552506
cg25268754,0.007547266,0.149750007,-0.142202741
cg11377136,0.023844774,0.165987069,-0.142142295
cg08160980,0.005693554,0.147535528,-0.141841974
cg05036032,0.002953815,0.14449145,-0.141537635
cg11752769,0.022350386,0.163491286,-0.1411409
cg11250941,0.011048961,0.151693418,-0.140644457
cg23562261,0.008119527,0.148656248,-0.140536721
cg05646373,0.006587504,0.146818778,-0.140231274
cg12276768,0.016162349,0.155670567,-0.139508218
cg06254453,0.056712264,0.193777022,-0.137064758
cg11953383,0.030967719,0.168010913,-0.137043194
cg23431851,0.013909902,0.150896967,-0.136987065
cg25074426,0.001041629,0.137736664,-0.136695035
cg03094193,0.020437562,0.157119095,-0.136681533
cg20994254,0.02123835,0.156365327,-0.135126977
cg01735621,-0.002827688,0.132107484,-0.134935172
cg04034767,0.450623015,0.585179389,-0.134556374
cg13011362,0.064555353,0.198751853,-0.1341965
cg04342955,0.030719499,0.164835885,-0.134116386
cg13983181,-0.14808538,-0.014295463,-0.133789917
cg01425666,0.030684753,0.164415737,-0.133730984
cg24873592,0.04287566,0.176132989,-0.133257329
cg20923245,0.022843375,0.155765265,-0.13292189
cg07876898,0.055757343,0.188463584,-0.132706241
cg17888390,0.102116184,0.234597839,-0.132481655
cg23071808,0.058286091,0.190743518,-0.132457427
cg05317714,0.026971763,0.159427071,-0.132455308
cg18633684,0.061311101,0.19365627,-0.132345169
cg08477332,-0.138663739,-0.006850251,-0.131813488
cg08885647,0.000462343,0.131888605,-0.131426262
cg13038241,0.095266318,0.226467608,-0.13120129
cg16421294,0.002969789,0.133950814,-0.130981025
cg21010450,0.014743345,0.145654169,-0.130910824
cg00960700,0.009642728,0.140428834,-0.130786106
cg11025705,0.002569797,0.133072433,-0.130502636
cg18261050,0.131873626,0.261995535,-0.130121909
cg24558977,-0.005498657,0.124583991,-0.130082648
cg03431079,0.044628032,0.174438613,-0.129810581
cg04241582,0.057328754,0.186426206,-0.129097452
cg13092806,0.025621196,0.154274735,-0.128653539
cg16174680,0.009915683,0.138526597,-0.128610914
cg18762465,0.110075274,0.238462259,-0.128386985
cg03423149,0.009938649,0.138311498,-0.128372849
cg10695848,0.071867863,0.199911524,-0.128043661
cg07267782,0.121976305,0.249950589,-0.127974284
cg14962032,0.055534304,0.183387368,-0.127853064
cg19830950,0.00709025,0.134826149,-0.127735899
cg16316944,0.04135993,0.169050576,-0.127690646
cg08477594,0.059947437,0.187615099,-0.127667662
cg03306374,0.417056072,0.544644358,-0.127588286
cg14780632,0.092879063,0.220447728,-0.127568665
cg00463577,0.035076091,0.162470358,-0.127394267
cg22855405,0.063471284,0.190828544,-0.12735726
cg09157427,0.024640535,0.151948968,-0.127308433
cg11452571,0.03423217,0.161424875,-0.127192705
cg17765085,0.010708153,0.137849988,-0.127141835
cg00846036,0.077193161,0.204148752,-0.126955591
cg25287257,0.270742127,0.39725356,-0.126511433
cg00107682,0.025339113,0.151830228,-0.126491115
cg24284369,0.014121387,0.140536442,-0.126415055
cg22638593,0.032388741,0.158793902,-0.126405161
cg11108676,0.079558017,0.205870263,-0.126312246
cg08406370,0.057908504,0.184179061,-0.126270557
cg17110524,0.049372932,0.175043892,-0.12567096
cg20300260,0.062130262,0.18755019,-0.125419928
cg03953500,0.013759449,0.139136594,-0.125377145
cg05907046,0.1221939,0.247416869,-0.125222969
cg07565505,0.002964956,0.127963898,-0.124998942
cg01697719,0.199785459,0.324774464,-0.124989005
cg16793061,0.080407809,0.205373815,-0.124966006
cg06722639,0.084898358,0.209793917,-0.124895559
cg02280532,0.27094753,0.395764257,-0.124816727
cg12493075,0.061428685,0.186028916,-0.124600231
cg16652651,-0.004594915,0.119866172,-0.124461087
cg18096722,0.224758372,0.349030773,-0.124272401
cg23976652,0.000636657,0.124693963,-0.124057306
cg15778054,0.040547294,0.164534641,-0.123987347
