CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta
cg02230017,0.196853299286503,0.262007091846626,7.64855317252048,9.02410623885467e-14,8.053407395536279e-13,19.9151038578038,0.0828564273880456,0.279709726674549,0.196853299286503,16,6069019,F,I,A2BP1,TSS200,island,TSS200-island,chr16:6068914-6070401,,,,,,0.2192574058363245
cg00336946,-0.1570539932813,0.678179520660989,-6.52321178932735,1.55102071128152e-10,1.01126819183304e-09,12.6033915836383,0.82110995339541,0.66405596011411,-0.1570539932813,13,101186274,F,II,A2LD1,TSS1500,shore,TSS1500-shore,chr13:101184396-101184848,,,,,,-0.1755796847050105
cg00134295,-0.134514340043058,0.437290452639585,-5.52245100013357,5.14187119976191e-08,2.56704618765368e-07,6.94575866349258,0.559708179369418,0.42519383932636,-0.134514340043057,12,9269178,R,II,A2M,TSS1500,opensea,TSS1500-opensea,,,True,,,,-0.1705014674799151
cg23669440,-0.0736201436045708,0.658781025567836,-4.33095538839829,1.76199673247779e-05,6.36434491946355e-05,1.32250609863052,0.725780652661205,0.652160509056633,-0.0736201436045715,3,137851776,R,II,A4GNT,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.0681271609537745
cg05399607,-0.257676269184824,0.577396418351536,-9.42990463592989,1.10768038986563e-19,1.7878621120190497e-18,33.3498248913167,0.811900361170818,0.554224091985995,-0.257676269184824,7,34874533,R,II,AAA1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.292606965398435
cg05224385,-0.0165486214169235,0.0603931635547433,-2.91726912257273,0.0036740265277245,0.0087847714162579,-3.68033350821024,0.0754535995924471,0.0589049781755236,-0.0165486214169235,12,53715634,F,II,AAAS,TSS1500,shore,TSS1500-shore,chr12:53715133-53715516,,,,,,-0.0096551522383178
cg00649906,-0.0073649344288193,0.0409561397364668,-4.01987596367179,6.6274167651862e-05,0.0002192731539361,0.0626898184680034,0.0476587599180903,0.0402938254892708,-0.0073649344288194,12,125549630,F,II,AACS,TSS1500,shore,TSS1500-shore,chr12:125549672-125550311,,,,rs73421850,,-0.0075229175986893
cg21473545,-0.049051856570155,0.788755122838741,-3.4838848912918,0.0005331856690738,0.0015101153711459,-1.89915729856868,0.833395841228127,0.784343984657971,-0.0490518565701552,5,178203432,R,II,AACSL,TSS200,opensea,TSS200-opensea,,,,,,,-0.0277294689380983
cg13001012,-0.0466361771762162,0.883938324106997,-3.381369781221,0.0007720177846963,0.0021194517469511,-2.24388829103507,0.926380600458013,0.879744423281797,-0.0466361771762158,3,151530534,R,II,AADAC,TSS1500,opensea,TSS1500-opensea,,,,,rs76177058,rs74351802,-0.0140404123113231
cg25159668,-0.0385130239994129,0.903343041374624,-3.1821111711951,0.0015438249865035,0.0039951482651596,-2.88562895158505,0.938392663935241,0.899879639935828,-0.0385130239994131,3,151450877,F,II,AADACL2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.0117184999069633
cg04505750,-0.150095336831933,0.683076625658761,-6.66165936035077,6.530344365188469e-11,4.41813509676245e-10,13.4501277934316,0.819674180401491,0.669578843569558,-0.150095336831933,1,12774815,F,II,AADACL3,TSS1500,opensea,TSS1500-opensea,,,,,rs78453302,,-0.151970657920063
cg06751920,0.119945648565837,0.823685926197099,8.98708023377984,3.96494037736919e-18,5.43161603185556e-17,29.8117456373113,0.714526756818837,0.834472405384674,0.119945648565837,1,12704007,F,II,AADACL4,TSS1500,opensea,TSS1500-opensea,,,,,,,0.140543306366495
cg02602915,-0.0079868844717384,0.0522824331728861,-3.18909688739976,0.0015076586900334,0.0039106485757706,-2.86376510971246,0.0595510726381733,0.0515641881664348,-0.0079868844717384,4,171011615,R,II,AADAT,TSS1500,shore,TSS1500-shore,chr4:171010943-171011503,,,,,,-0.0076406275915625
cg11232947,0.0312101919877784,0.0619797719649069,2.60939920523706,0.0093147765487753,0.0202729789969108,-4.51987749265893,0.0335762519184754,0.0647864439062539,0.0312101919877785,2,69871759,R,II,AAK1,TSS1500,shore,TSS1500-shore,chr2:69869986-69871716,,,,,,0.0102472796131509
