CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,F1_dif
cg26276249,-0.266471095,0.649265098,-9.467658888,8.12e-20,1.33e-18,33.65720773,0.891772966,0.62530187,-0.266471095,1,185925432,R,II,HMCN1,Body,opensea,Body-opensea,,,,,,,-0.315269753,hypo,0.89,0.957403651,0.894736842,-0.062666809
cg04221650,-0.285883939,0.573049843,-10.53824156,8.549999999999999e-24,2.19e-22,42.72953365,0.833224795,0.547340856,-0.285883939,1,152681887,R,II,LCE4A,1stExon,opensea,1stExon-opensea,,,,,,rs73011196,-0.313783562,hypo,0.79,0.942386831,0.816666667,-0.125720165
cg13760060,-0.291256797,0.570336611,-10.49262401,1.28e-23,3.21e-22,42.32944651,0.83540125,0.544144453,-0.291256797,14,73212577,F,II,DPF3,Body,opensea,Body-opensea,,True,True,,,,-0.326190677,hypo,0.81,0.938016529,0.846153846,-0.091862683
cg21748244,-0.260515186,0.621093526,-10.00842186,8.63e-22,1.75e-20,38.15549229,0.858181088,0.597665901,-0.260515186,5,169713179,F,II,LCP2,Body,opensea,Body-opensea,,,True,,,,-0.284347938,hypo,0.82,0.929166667,0.928571429,-0.000595238
cg07103673,-0.27781409,0.526422332,-10.4538251,1.8e-23,4.44e-22,41.99007551,0.779253141,0.501439051,-0.27781409,11,7092719,R,II,NLRP14,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.309794501,hypo,0.73,0.926931106,0.87826087,-0.048670237
cg14117138,0.487159328,0.627808756,17.53042025,4.41e-55,2.91e-51,114.3952207,0.184458719,0.671618048,0.487159328,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.587046117,hyper,0.32,0.963562753,0.959183673,-0.00437908
cg08377924,0.455227965,0.526558613,14.71900945,1.22e-41,6.02e-39,83.57068034,0.112268415,0.567496379,0.455227965,17,41363628,R,II,NBR1,3'UTR,shore,3'UTR-shore,chr17:41363727-41364273,True,,,,,0.521922397,hyper,0.2,0.959183673,0.9375,-0.021683673
cg09300114,0.386726688,0.658671465,15.97716794,1.49e-47,2.28e-44,97.12236126,0.306722356,0.693449045,0.386726688,17,73084329,R,II,SLC16A5,5'UTR,island,5'UTR-island,chr17:73083866-73084495,,,,,,0.463647222,hyper,0.47,0.948665298,0.920634921,-0.028030377
cg26388816,0.460666833,0.608316337,16.61105258,1.34e-50,3.83e-47,104.1075072,0.189076377,0.64974321,0.460666833,12,570155,F,I,B4GALNT3,Body,island,Body-island,chr12:568702-570362,True,,,,,0.547537792,hyper,0.39,0.944099379,0.926315789,-0.017783589
cg00697992,0.394501197,0.624691029,13.31536343,2.66e-35,3.98e-33,69.04541197,0.265666558,0.660167755,0.394501197,2,139537131,F,II,NXPH2,Body,shore,Body-shore,chr2:139537692-139538650,,True,,,,0.463824116,hyper,0.41,0.931106472,0.880434783,-0.050671689
cg06361405,0.430505324,0.537153613,17.36204178,2.96e-54,1.69e-50,112.498472,0.145362797,0.57586812,0.430505324,10,104434010,F,II,ARL3,3'UTR,opensea,3'UTR-opensea,,True,,,,,0.491041827,hyper,0.45,0.912205567,0.837209302,-0.074996265
cg14539231,0.373137389,0.494941708,13.37451479,1.46e-35,2.2800000000000002e-33,69.64307003,0.15535984,0.528497228,0.373137389,13,43566262,F,II,EPSTI1,1stExon,island,1stExon-island,chr13:43566074-43566508,True,True,,,,0.50529618,hyper,0.39,0.898488121,0.813953488,-0.084534633
cg06426416,0.389213017,0.505983496,11.78586414,9.03e-29,4.59e-27,54.09978781,0.151771649,0.540984666,0.389213017,4,5710403,R,II,EVC2,5'UTR,island,5'UTR-island,chr4:5709985-5710495,True,,,,,0.525780059,hyper,0.37,0.891304348,0.866666667,-0.024637681
