CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,F1_dif,early_dbeta,later_dbeta,dbate_dif
cg01917716,-0.278895844,0.603198208,-11.47262518,1.7300000000000003e-27,7.27e-26,51.17034572,0.85701349,0.578117646,-0.278895844,11,59824541,F,II,MS4A3,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.313102947,hypo,0.86,0.97188755,0.927272727,-0.044614823,-0.297429888,-0.320618682,0.023188794
cg00887902,-0.315450453,0.510046002,-12.59277349,3.6700000000000005e-32,3.18e-30,61.858233,0.797128608,0.481678155,-0.315450453,8,56436393,F,II,XKR4,Body,opensea,Body-opensea,,,,,,,-0.357724615,hypo,0.78,0.96993988,0.911504425,-0.058435455,-0.350288373,-0.361290533,0.01100216
cg24643381,-0.3125234,0.572812062,-10.93980779,2.33e-25,7.31e-24,46.30064285,0.85723084,0.544707439,-0.3125234,12,43941378,F,II,ADAMTS20,Body,shelf,Body-shelf,chr12:43944719-43946285,,,,,rs67715439,-0.36132499,hypo,0.85,0.963709677,0.963636364,-7.33e-05,-0.340316182,-0.371399388,0.031083206
cg09591519,-0.302123926,0.424735183,-12.99181116,6.95e-34,8.130000000000001e-32,65.8007534,0.699689691,0.397565765,-0.302123926,6,33241770,R,I,RPS18,Body,shore,Body-shore,chr6:33239326-33240099,,,,,,-0.34859389,hypo,0.66,0.961616162,0.87826087,-0.083355292,-0.343145359,-0.36117273,0.018027371
cg20672708,-0.306019738,0.489411042,-12.46009427,1.35e-31,1.0700000000000001e-29,60.5623959,0.767911019,0.461891281,-0.306019738,20,30696827,R,II,TM9SF4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.345081517,hypo,0.74,0.961460446,0.944954128,-0.016506318,-0.338110144,-0.350977794,0.01286765
cg00160262,-0.304952037,0.514571651,-12.40505236,2.31e-31,1.7600000000000001e-29,60.02708032,0.792099943,0.487147907,-0.304952037,1,158533225,F,II,OR6P1,1stExon,opensea,1stExon-opensea,,,,,,,-0.346741265,hypo,0.76,0.95951417,0.963302752,0.003788582,-0.329124695,-0.355188977,0.026064282
cg22340475,-0.346376085,0.545512368,-11.41437519,2.9700000000000004e-27,1.21e-25,50.63091902,0.860739525,0.514363439,-0.346376085,8,55529845,R,II,RP1,5'UTR,shelf,5'UTR-shelf,chr8:55533803-55534033,,,,,,-0.384167232,hypo,0.83,0.959349593,0.860869565,-0.098480028,-0.371032291,-0.390465859,0.019433568
cg15700197,-0.322175064,0.544264735,-11.56662593,7.15e-28,3.18e-26,52.04440254,0.837467221,0.515292158,-0.322175064,1,159409207,F,II,OR10J1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.363603209,hypo,0.8,0.959349593,0.928571429,-0.030778165,-0.350639927,-0.36981952,0.019179593
cg20307184,-0.27702815,0.574732651,-10.91339071,2.96e-25,9.159999999999999e-24,46.06304523,0.826848198,0.549820048,-0.27702815,7,48351895,R,II,ABCA13,Body,opensea,Body-opensea,,,,,,,-0.319462903,hypo,0.82,0.957403651,0.910714286,-0.046689365,-0.297895345,-0.329805241,0.031909896
cg26276249,-0.266471095,0.649265098,-9.467658888,8.12e-20,1.33e-18,33.65720773,0.891772966,0.62530187,-0.266471095,1,185925432,R,II,HMCN1,Body,opensea,Body-opensea,,,,,,,-0.315269753,hypo,0.89,0.957403651,0.894736842,-0.062666809,-0.294518254,-0.325220765,0.030702511
