CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc
cg25558103,0.322245357035544,0.601786857781781,14.5874571374668,4.91080790608637e-41,2.15574152661519e-38,82.1807556800182,0.308520399760225,0.630765756795769,0.322245357035544,17,42835859,R,I,ADAM11,TSS1500,island,TSS1500-island,chr17:42835776-42836242,,,,,,0.3888954106922078,hyper,0.44,0.9443298969072164,0.932642487046632,0.9095652173913044
cg14375499,0.356259702825375,0.603360146302316,13.1092335378674,2.13602201529409e-34,2.74260123639492e-32,66.9734483870507,0.279138186536777,0.635397889362152,0.356259702825375,17,6899207,F,II,ALOX12,TSS200,island,TSS200-island,chr17:6898820-6900427,True,True,,rs312466,,0.415403655243938,hyper,0.44,0.9240506329113924,0.8791208791208791,0.90102766798419
cg16970232,0.38240472529957,0.494346122015833,10.3334433954225,5.18440568220603e-23,1.2101503627687e-21,40.9424909111824,0.146330310861908,0.528735036161478,0.38240472529957,5,112073433,R,II,APC,TSS200,opensea,TSS200-opensea,,,,,,,0.4737278921493454,hyper,0.1,0.9338842975206612,0.9214659685863876,0.8594466403162057
cg18759209,0.355188592086869,0.512328197641325,16.3304227413169,3.03275565909797e-49,6.7113990748879514e-46,101.003320393197,0.189081025706153,0.544269617793022,0.355188592086869,20,55842071,R,I,BMP7,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,True,,,,,0.4075977812746775,hyper,0.29,0.959349593495935,0.9375,0.9509881422924902
cg06390484,0.329234900019838,0.675957332625907,13.7097172332354,4.72019572980165e-37,9.66663709597185e-35,73.0551557127863,0.376329887643825,0.705564787663663,0.329234900019838,7,134575271,R,II,CALD1,TSS1500,opensea,TSS1500-opensea,,,,,,,0.376427344225357,hyper,0.53,0.9240506329113924,0.9090909090909092,0.9130434782608696
cg03576469,0.472785931475506,0.621988235775476,17.0832107588338,6.83629264534648e-53,3.1751203390649e-49,109.369499853174,0.191719024756399,0.664504956231906,0.472785931475507,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.5498279871805059,hyper,0.38,0.9613034623217924,0.9263157894736842,0.9135177865612648
cg21462428,0.329878148598117,0.450886869763744,12.1329634515081,3.25349433514023e-30,2.06509336317096e-28,57.4007361399773,0.15067402229855,0.480552170896668,0.329878148598118,12,4381448,F,II,CCND2,TSS1500,island,TSS1500-island,chr12:4378366-4382222,,,,,,0.3934579593136668,hyper,0.24,0.937759336099585,0.8972972972972972,0.8828458498023716
cg15323528,0.417296073684769,0.49965035358933,16.1585350497832,2.02691019108509e-48,3.62780722675942e-45,99.1111055880761,0.119880905235925,0.537176978920694,0.417296073684769,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.4840933017196013,hyper,0.23,0.9570552147239264,0.9484536082474226,0.9252173913043478
cg23180938,0.327648300822904,0.399769014490361,10.4745059606984,1.50144336256007e-23,3.7340550023924797e-22,42.17086465107,0.101585488921316,0.429233789744219,0.327648300822904,5,115152485,F,I,CDO1,TSS200,island,TSS200-island,chr5:115151348-115152713,True,,,,,0.3768183035671658,hyper,0.18,0.9032258064516128,0.9032258064516128,0.8567588932806324
cg18344652,0.345762126076142,0.543845776083345,10.2575902318718,1.00486734132674e-22,2.26694721842065e-21,40.2866208698649,0.229177366380957,0.574939492457099,0.345762126076142,1,95393096,F,I,CNN3,TSS1500,island,TSS1500-island,chr1:95391837-95393116,,,,,,0.4213771586970247,hyper,0.26,0.9067796610169492,0.8913043478260869,0.8509090909090911
