CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc
cg02131967,0.306829393,0.421232538,11.86341768,4.3200000000000004e-29,2.3000000000000003e-27,54.83240926,0.141995717,0.44882511,0.306829393,17,61554106,R,I,ACE,TSS1500,island,TSS1500-island,chr17:61553834-61555063,,,,,,0.41102550716206526,hyper,0.26,0.9152892561983471,0.9081081081081082,0.9147932816537467
cg21527621,0.308602606,0.443157768,12.92618584,1.34e-33,1.49e-31,65.147803,0.162307195,0.470909801,0.308602606,1,55013419,R,I,ACOT11,TSS1500,opensea,TSS1500-opensea,,True,,,,,0.38910958980496496,hyper,0.28,0.9453441295546559,0.9368421052631579,0.9386563307493541
cg23614791,0.34246029,0.397280046,11.63169211,3.88e-28,1.8e-26,52.65196503,0.085616544,0.428076835,0.34246029,12,81471754,F,I,ACSS3,TSS200,island,TSS200-island,chr12:81471569-81472119,,,,,,0.37443332092445847,hyper,0.12,0.921025641025641,0.9090909090909092,0.9121317829457364
cg25558103,0.322245357,0.601786858,14.58745714,4.91e-41,2.16e-38,82.18075568,0.3085204,0.630765757,0.322245357,17,42835859,R,I,ADAM11,TSS1500,island,TSS1500-island,chr17:42835776-42836242,,,,,,0.39428248328839227,hyper,0.46,0.9331983805668016,0.9326424870466321,0.9083204134366925
cg26573704,0.443961282,0.542280174,15.31663994,2e-44,1.68e-41,89.95182057,0.138243467,0.58220475,0.443961282,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.5000638988686006,hyper,0.26,0.9467336683417086,0.9430051813471503,0.9132299741602068
cg19619405,0.308124678,0.404068461,9.262148765,4.36e-19,6.6e-18,31.99480841,0.123652837,0.431777515,0.308124678,12,43945892,F,I,ADAMTS20,TSS200,island,TSS200-island,chr12:43944719-43946285,,,,rs275603,rs71455455,0.3688147096570802,hyper,0.08,0.9283551967709385,0.97,0.8849354005167959
cg09651145,0.422567793,0.596595116,16.27370258,5.68e-49,1.1899999999999999e-45,100.3781373,0.212028024,0.634595817,0.422567793,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.4656875371301314,hyper,0.29,0.9615004935834156,0.9484536082474226,0.9337467700258397
cg07330230,0.396037435,0.484941842,12.24450409,1.11e-30,7.560000000000001e-29,58.47334642,0.124519284,0.520556719,0.396037435,3,125899925,F,I,ALDH1L1,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,True,,,,0.4814142198860341,hyper,0.13,0.9572139303482587,0.98,0.9275064599483204
cg03762994,0.331403324,0.57301604,12.96003942,9.55e-34,1.09e-31,65.48441422,0.271415174,0.602818498,0.331403324,17,6899332,R,I,ALOX12,TSS200,island,TSS200-island,chr17:6898820-6900427,True,True,,,,0.39749435351804624,hyper,0.41,0.9090909090909091,0.8913043478260869,0.9051937984496122
cg27616227,0.28396973,0.589039462,11.25547798,1.3e-26,4.83e-25,49.16813226,0.330606578,0.614576308,0.28396973,8,108510314,R,I,ANGPT1,TSS200,opensea,TSS200-opensea,,,,,,,0.3901217345958903,hyper,0.45,0.9085239085239085,0.9206349206349206,0.8948966408268735
cg08076018,0.374996153,0.468374151,11.16838883,2.89e-26,1.03e-24,48.37186104,0.127100674,0.502096826,0.374996153,9,129885080,F,II,ANGPTL2,TSS200,opensea,TSS200-opensea,,,,,,,0.3845263046071626,hyper,0.23,0.8945147679324895,0.8852459016393442,0.9016925064599483
cg14904662,0.382889816,0.605949558,14.63396762,3e-41,1.3799999999999999e-38,82.67153561,0.257492279,0.640382095,0.382889816,8,41655673,R,I,ANK1,TSS1500,island,TSS1500-island,chr8:41654875-41655984,True,True,,,,0.45925110246646,hyper,0.39,0.934010152284264,0.9270833333333334,0.9271059431524548
cg20118643,0.437301406,0.603430351,14.83126488,3.68e-42,1.97e-39,84.76103318,0.205454611,0.642756017,0.437301406,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.5036741860486575,hyper,0.28,0.9409409409409409,0.9270833333333334,0.9055297157622738
cg04380340,0.439910297,0.49011016,13.97471779,3.05e-38,7.79e-36,75.78204915,0.089760142,0.529670439,0.439910297,2,201450506,R,II,AOX1,TSS1500,shore,TSS1500-shore,chr2:201450526-201451027,True,True,,,,0.4454525713673068,hyper,0.14,0.9582504970178926,0.9430051813471503,0.9342635658914729
cg03667968,0.364571153,0.448684086,9.787147733,5.66e-21,1.05e-19,36.2935094,0.116898109,0.481469262,0.364571153,5,112073438,R,I,APC,TSS200,opensea,TSS200-opensea,,True,,,,,0.44760703758065473,hyper,0.08,0.9135802469135803,0.9270833333333334,0.8932945736434107
cg08266366,0.293674307,0.46607971,16.05818548,6.12e-48,1.01e-44,98.00973277,0.198814963,0.49248927,0.293674307,12,50354998,R,I,AQP5,TSS1500,island,TSS1500-island,chr12:50354839-50356163,,,,,,0.364786452412394,hyper,0.31,0.9572989076464746,0.9538461538461539,0.920439276485788
cg05308656,0.302930024,0.668020963,14.50223794,1.2099999999999999e-40,4.89e-38,81.28332867,0.392332848,0.695262871,0.302930024,2,235406291,F,I,ARL4C,TSS1500,island,TSS1500-island,chr2:235404502-235406541,,,,,,0.3757154748458823,hyper,0.5,0.9449449449449449,0.9375,0.9197932816537469
cg15076145,0.360486586,0.470170831,11.79712664,8.11e-29,4.1500000000000004e-27,54.2060025,0.142102104,0.50258869,0.360486586,4,94748686,R,II,ATOH1,TSS1500,shore,TSS1500-shore,chr4:94749495-94750998,,,,,,0.3937813134946259,hyper,0.15,0.9572139303482587,0.9693877551020408,0.9316020671834625
