CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1
cg05399607,-0.257676269184824,0.577396418351536,-9.42990463592989,1.10768038986563e-19,1.7878621120190497e-18,33.3498248913167,0.811900361170818,0.554224091985995,-0.257676269184824,7,34874533,R,II,AAA1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2926069653984349,hypo,0.81,0.9338842975206612
cg15211996,-0.272848190171158,0.544702915982683,-11.2222411515469,1.76246467961781e-26,6.4373594640351105e-25,48.8637825103044,0.793014398404637,0.520166208233479,-0.272848190171158,1,2936768,R,II,ACTRT2,TSS1500,shore,TSS1500-shore,chr1:2938633-2939043,,,,,,-0.2866032039284078,hypo,0.72,0.9152542372881355
cg16642695,-0.221576914823104,0.407100788481621,-10.6388340795248,3.49598420305794e-24,9.418552972725672e-23,43.6158507080687,0.608751721755885,0.387174806932781,-0.221576914823104,8,67343633,F,II,ADHFE1,TSS1500,shore,TSS1500-shore,chr8:67344497-67344989,,,,,,-0.260492620570088,hypo,0.51,0.8820960698689956
cg06118116,-0.262934063486799,0.568513140603311,-12.0584677331168,6.67015556734289e-30,4.02848912379553e-28,56.687533964311,0.807802054495973,0.544867991009174,-0.262934063486799,2,228336171,F,II,AGFG1,TSS1500,shore,TSS1500-shore,chr2:228336752-228337875,,,,,,-0.2989147844162931,hypo,0.75,0.9421487603305785
cg07195224,-0.24670351097695,0.518860485629508,-11.2476855681797,1.39374796407895e-26,5.16433519970768e-25,49.096726364436,0.743378429072561,0.49667491809561,-0.246703510976951,1,159047034,F,II,AIM2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2716095361865184,hypo,0.67,0.9285714285714286
cg13121732,-0.247966840702881,0.438370926686012,-11.3982724347717,3.45154934338233e-27,1.39203486355827e-25,50.4820985009244,0.664038591066691,0.416071750363811,-0.24796684070288,14,105260250,F,II,AKT1,TSS1500,shore,TSS1500-shore,chr14:105261334-105261624,,True,,,,-0.2918941369612982,hypo,0.65,0.9554655870445344
cg08421983,-0.225846169519897,0.516049784538412,-10.3994225348979,2.90782022986717e-23,6.99626828841891e-22,41.5156419336894,0.721586046727384,0.495739877207486,-0.225846169519897,3,183892060,R,II,AP2M1,TSS1500,shore,TSS1500-shore,chr3:183892455-183893184,,,,,,-0.2688654901070778,hypo,0.64,0.8965517241379309
cg05919685,-0.273359347666042,0.400391755294958,-10.920039659453,2.79145629593282e-25,8.64898547036243e-24,46.1228115586422,0.649168427811176,0.375809080145134,-0.273359347666042,1,159556997,F,II,APCS,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3193041089372405,hypo,0.56,0.905982905982906
cg11287647,-0.26489261175214,0.615451751671718,-9.14177014139643,1.1521588074058e-18,1.66794129426289e-17,31.0334522050262,0.856523085388593,0.591630473636453,-0.26489261175214,7,12725352,F,II,ARL4A,TSS1500,shore,TSS1500-shore,chr7:12726156-12727248,,,,,,-0.2790416984249839,hypo,0.8,0.8937093275488069
cg23339656,-0.243648916650492,0.501149221817721,-10.5126915266851,1.07152198855411e-23,2.7171305864452597e-22,42.5053053031577,0.722887264668708,0.479238348018216,-0.243648916650492,2,234159882,R,II,ATG16L1,TSS1500,shore,TSS1500-shore,chr2:234160100-234160735,,,,,,-0.2795715532551328,hypo,0.67,0.933609958506224
