Unnamed: 0,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta
cg12539796,0.513331423,0.614720592,17.08813263,6.47E-53,3.04E-49,109.4245979,0.147552066,0.66088349,0.513331423,5,7850203,F,I,C5orf49,Body,island,Body-island,chr5:7849945-7850439,TRUE,,,,,0.63315685
cg23179456,0.466215125,0.557600056,14.9558415,9.71E-43,5.76E-40,86.08659323,0.133310752,0.599525876,0.466215125,14,24803873,R,I,ADCY4,TSS200,island,TSS200-island,chr14:24803678-24804353,,,,,,0.598308785
cg02245020,0.494091509,0.600066725,16.5569156,2.46E-50,6.51E-47,103.5072702,0.150407905,0.644499414,0.494091509,7,143580147,R,II,FAM115A,5'UTR,shore,5'UTR-shore,chr7:143582125-143582610,TRUE,,,,,0.594030354
cg04294888,0.485245566,0.605763214,14.98587225,7.04E-43,4.36E-40,86.40684213,0.16415484,0.649400406,0.485245566,22,28839249,F,II,TTC28,Body,opensea,Body-opensea,,,,,,,0.587219031
cg14117138,0.487159328,0.627808756,17.53042025,4.41E-55,2.91E-51,114.3952207,0.184458719,0.671618048,0.487159328,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,TRUE,,,,,0.587046117
cg16731240,0.474317415,0.618758471,16.63911042,9.84E-51,2.95E-47,104.4188531,0.1870955,0.661412915,0.474317415,19,52391250,F,II,ZNF577,TSS200,island,TSS200-island,chr19:52390841-52391368,TRUE,,,rs75075099,,0.577383084
cg05385513,0.476907781,0.636862006,16.81552447,1.37E-51,5.11E-48,106.3804127,0.202841615,0.679749396,0.476907781,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,TRUE,,,,,0.576475575
cg10069493,0.461859343,0.579439144,16.99491377,1.84E-52,8.06E-49,108.3818956,0.159113915,0.620973258,0.461859343,10,45914688,R,I,ALOX5,Body,island,Body-island,chr10:45914374-45914883,TRUE,TRUE,,,,0.572644126
cg08946731,0.464964779,0.604767592,15.0353128,4.14E-43,2.71E-40,86.93466857,0.181616192,0.646580971,0.464964779,7,32981826,F,II,RP9P,Body,shore,Body-shore,chr7:32981938-32982865,,TRUE,,rs56664420,,0.570770913
cg26573704,0.443961282,0.542280174,15.31663994,2.00E-44,1.68E-41,89.95182057,0.138243467,0.58220475,0.443961282,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,TRUE,,high-CpG:33927847-33928066,,,0.56913528
cg21330423,0.460589703,0.53983917,15.87675423,4.49E-47,6.35E-44,96.02485039,0.120669405,0.581259107,0.460589703,6,29975068,R,I,HLA-J,Body,island,Body-island,chr6:29974220-29975369,,TRUE,,,,0.565882942
cg21919857,0.462558015,0.638629273,17.12268461,4.39E-53,2.14E-49,109.8115291,0.217668201,0.680226216,0.462558015,5,180018102,R,II,SCGB3A1,Body,island,Body-island,chr5:180017099-180019062,,TRUE,,,,0.564267502
cg14861089,0.456110824,0.616962583,16.29931593,4.28E-49,9.20E-46,100.6603591,0.201868919,0.657979743,0.456110824,10,102895043,R,I,TLX1,Body,island,Body-island,chr10:102893660-102895059,,,,,,0.559211553
cg08862890,0.467003585,0.604098205,18.17308614,2.95E-58,4.26E-54,121.6809802,0.179091346,0.64609493,0.467003585,5,169064451,R,I,DOCK2,Body,island,Body-island,chr5:169064270-169064702,,,,,,0.556384629
cg00817367,0.476429186,0.603189432,18.76519493,3.31E-61,8.89E-57,128.4516895,0.169604597,0.646033783,0.476429186,12,52401214,F,I,GRASP,Body,island,Body-island,chr12:52400467-52401696,TRUE,,,,,0.55498594
cg20883831,0.462837739,0.543041064,16.14435613,2.37E-48,4.21E-45,98.95533661,0.121825424,0.584663163,0.462837739,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,TRUE,TRUE,high-CpG:150283794-150283891,,,0.553790152
cg03576469,0.472785931,0.621988236,17.08321076,6.84E-53,3.18E-49,109.3694999,0.191719025,0.664504956,0.472785931,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,TRUE,,,,,0.549827987
cg09296001,0.454654909,0.576115252,19.29261601,7.49E-64,4.69E-59,134.5230548,0.162346575,0.617001485,0.454654909,7,127672564,R,I,SND1,Body,island,Body-island,chr7:127671158-127672853,TRUE,,,,,0.548335093
cg26388816,0.460666833,0.608316337,16.61105258,1.34E-50,3.83E-47,104.1075072,0.189076377,0.64974321,0.460666833,12,570155,F,I,B4GALNT3,Body,island,Body-island,chr12:568702-570362,TRUE,,,,,0.547537792
cg23235241,0.413745306,0.530867019,13.27464214,4.02E-35,5.80E-33,68.63476213,0.154329024,0.568074331,0.413745306,16,25704505,R,II,HS3ST4,Body,island,Body-island,chr16:25702955-25704631,,,,,,0.546976317
cg07519235,0.483140395,0.706470735,17.81826341,1.68E-56,1.39E-52,117.6496846,0.266778216,0.749918612,0.483140395,16,19894978,R,II,GPRC5B,5'UTR,island,5'UTR-island,chr16:19894965-19897156,TRUE,,,,,0.545629005
cg01635086,0.452917346,0.525444062,15.65476899,5.09E-46,5.87E-43,93.60785249,0.113256694,0.56617404,0.452917346,17,42386326,R,II,RUNDC3A,Body,island,Body-island,chr17:42385810-42386393,,,,,,0.54386235
cg02534363,0.445082018,0.598838056,14.84724763,3.10E-42,1.68E-39,84.93083191,0.1937814,0.638863418,0.445082018,3,47050950,R,II,NBEAL2,3'UTR,island,3'UTR-island,chr3:47050486-47051609,,TRUE,,,,0.543311418
