CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,F1_dif,auc
cg18265608,0.321020700701755,0.557928847715968,13.7428010633303,3.35695885918342e-37,7.02394164415517e-35,73.3942004056715,0.265776915062932,0.586797615764686,0.321020700701754,11,44087367,F,II,ACCS,TSS1500,shore,TSS1500-shore,chr11:44087518-44088165,,,,,,0.3595950562206031,hyper,0.33,0.9549180327868853,0.925531914893617,-0.0293861178932682,0.9239525691699605
cg10266490,0.351519500839524,0.540236979130116,15.5515007793858,1.56660551744667e-45,1.59719465769926e-42,92.4879255221302,0.220328944193426,0.571848445032951,0.351519500839524,1,55013709,R,II,ACOT11,TSS200,opensea,TSS200-opensea,,,,,,,0.4169427780982651,hyper,0.4,0.9419087136929462,0.9021739130434784,-0.0397348006494678,0.9157312252964427
cg11659501,0.350236312650476,0.487936325708049,12.3687981011739,3.2975056741312904e-31,2.44296597506215e-29,59.675217666783,0.169196084339091,0.519432396989566,0.350236312650476,12,81471678,R,II,ACSS3,TSS200,island,TSS200-island,chr12:81471569-81472119,,,,,,0.4012260004051564,hyper,0.23,0.948875255623722,0.9148936170212766,-0.0339816386024454,0.9038735177865612
cg25558103,0.322245357035544,0.601786857781781,14.5874571374668,4.91080790608637e-41,2.15574152661519e-38,82.1807556800182,0.308520399760225,0.630765756795769,0.322245357035544,17,42835859,R,I,ADAM11,TSS1500,island,TSS1500-island,chr17:42835776-42836242,,,,,,0.3888954106922083,hyper,0.44,0.9443298969072164,0.932642487046632,-0.0116874098605842,0.9095652173913045
cg26573704,0.44396128219377,0.542280173928839,15.3166399445311,2.0001532359769901e-44,1.67587449474548e-41,89.9518205708557,0.138243467471919,0.582204749665689,0.44396128219377,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.5691352798784615,hyper,0.25,0.9551020408163268,0.9484536082474226,-0.0066484325689041,0.9065612648221344
cg09651145,0.422567792960885,0.596595115891751,16.2737025842058,5.6807866302318296e-49,1.18730018568131e-45,100.37813734591,0.2120280237367,0.634595816697586,0.422567792960886,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.5138211454148165,hyper,0.42,0.9308176100628932,0.8852459016393442,-0.0455717084235489,0.9190513833992096
cg07330230,0.396037435490835,0.48494184207286,12.2445040877547,1.1053211972093099e-30,7.56187235854026e-29,58.4733464194051,0.124519283874366,0.520556719365202,0.396037435490835,3,125899925,F,I,ALDH1L1,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,True,,,,0.4544304065414839,hyper,0.13,0.9572301425661914,0.98,0.0227698574338085,0.9032411067193675
cg14375499,0.356259702825375,0.603360146302316,13.1092335378674,2.13602201529409e-34,2.74260123639492e-32,66.9734483870507,0.279138186536777,0.635397889362152,0.356259702825375,17,6899207,F,II,ALOX12,TSS200,island,TSS200-island,chr17:6898820-6900427,True,True,,rs312466,,0.4154036552439381,hyper,0.44,0.9240506329113924,0.8791208791208791,-0.0449297537905133,0.9010276679841899
cg08076018,0.374996152513637,0.468374150563767,11.1683888271698,2.8933188444951004e-26,1.02657834187803e-24,48.3718610405808,0.12710067363589,0.502096826149526,0.374996152513636,9,129885080,F,II,ANGPTL2,TSS200,opensea,TSS200-opensea,,,,,,,0.4266314990067947,hyper,0.12,0.9404517453798767,0.922279792746114,-0.0181719526337627,0.9057707509881423
cg14904662,0.38288981635062,0.605949558007025,14.6339676247481,2.99925964519833e-41,1.38107279659956e-38,82.6715356058335,0.257492279098008,0.640382095448628,0.382889816350619,8,41655673,R,I,ANK1,TSS1500,island,TSS1500-island,chr8:41654875-41655984,True,True,,,,0.4474541235201685,hyper,0.39,0.9443298969072164,0.9270833333333334,-0.0172465635738829,0.9199999999999999
cg20118643,0.437301405617856,0.603430350827213,14.8312648839362,3.6760168013227e-42,1.96999416060058e-39,84.7610331788212,0.205454611182187,0.642756016800042,0.437301405617855,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.5273105160097293,hyper,0.45,0.9171974522292994,0.8729281767955802,-0.0442692754337191,0.8958102766798419
cg04380340,0.43991029672651,0.490110160235225,13.9747177870773,3.04505500844792e-38,7.78766090722739e-36,75.7820491539669,0.0897601419913145,0.529670438717825,0.43991029672651,2,201450506,R,II,AOX1,TSS1500,shore,TSS1500-shore,chr2:201450526-201451027,True,True,,,,0.4970315017271334,hyper,0.1,0.967741935483871,0.9543147208121826,-0.0134272146716883,0.9310671936758893
cg16970232,0.38240472529957,0.494346122015833,10.3334433954225,5.18440568220603e-23,1.2101503627687e-21,40.9424909111824,0.146330310861908,0.528735036161478,0.38240472529957,5,112073433,R,II,APC,TSS200,opensea,TSS200-opensea,,,,,,,0.4737278921493455,hyper,0.1,0.9338842975206612,0.9214659685863876,-0.0124183289342736,0.8594466403162057
cg15076145,0.360486585685314,0.470170831127606,11.7971266391623,8.11266245655585e-29,4.15467489718022e-27,54.2060025026799,0.14210210386723,0.502588689552544,0.360486585685314,4,94748686,R,II,ATOH1,TSS1500,shore,TSS1500-shore,chr4:94749495-94750998,,,,,,0.4094543029566752,hyper,0.22,0.9330543933054394,0.9197860962566844,-0.0132682970487548,0.9114624505928854
cg22777979,0.32962235405757,0.543197519545365,14.1811907029955,3.53778184159255e-39,1.07074112447009e-36,77.9239674889236,0.243217463514554,0.572839817572125,0.329622354057571,11,134283252,R,II,B3GAT1,TSS1500,shore,TSS1500-shore,chr11:134281380-134282919,,,,,,0.3738458345481571,hyper,0.38,0.9352818371607516,0.8913043478260869,-0.0439774893346647,0.924901185770751
cg18759209,0.355188592086869,0.512328197641325,16.3304227413169,3.03275565909797e-49,6.7113990748879514e-46,101.003320393197,0.189081025706153,0.544269617793022,0.355188592086869,20,55842071,R,I,BMP7,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,True,,,,,0.4075977812746774,hyper,0.29,0.959349593495935,0.9375,-0.0218495934959349,0.9509881422924902
cg04986616,0.366826123666658,0.584508101900505,14.464302527989,1.8060271428089399e-40,7.02623000269323e-38,80.8845975547932,0.250669938995238,0.617496062661895,0.366826123666658,11,63537378,R,II,C11orf95,TSS1500,island,TSS1500-island,chr11:63535652-63537435,,,,,,0.4228505971056458,hyper,0.43,0.9355509355509356,0.8791208791208791,-0.0564300564300565,0.9065612648221344
cg18674980,0.362901439282966,0.598701673033821,12.9802037478819,7.80405294228717e-34,9.05311050617683e-32,65.6851348652137,0.268435255269107,0.631336694552073,0.362901439282966,8,86350581,F,II,CA3,TSS1500,shore,TSS1500-shore,chr8:86350765-86351196,,True,,,,0.4152073981466279,hyper,0.38,0.9445585215605748,0.9489795918367346,0.0044210702761597,0.895494071146245
cg06390484,0.329234900019838,0.675957332625907,13.7097172332354,4.72019572980165e-37,9.66663709597185e-35,73.0551557127863,0.376329887643825,0.705564787663663,0.329234900019838,7,134575271,R,II,CALD1,TSS1500,opensea,TSS1500-opensea,,,,,,,0.3764273442253568,hyper,0.53,0.9240506329113924,0.9090909090909092,-0.0149597238204832,0.9130434782608696
cg08351336,0.343000211285128,0.551008111284808,14.0110307513551,2.08756802895171e-38,5.49198272959286e-36,76.1576740508088,0.238853242741149,0.581853454026277,0.343000211285127,5,71014820,F,II,CARTPT,TSS200,shore,TSS200-shore,chr5:71014917-71015715,,,,rs17358216,,0.3933497437159234,hyper,0.33,0.9595141700404858,0.9214659685863876,-0.0380482014540982,0.9049802371541501
cg17469978,0.36480071904102,0.45983716811117,12.9200905408428,1.4239289060585399e-33,1.58052231912814e-31,65.0872466845066,0.127842269127796,0.492642988168816,0.36480071904102,7,116164704,R,II,CAV1,TSS200,island,TSS200-island,chr7:116164703-116166735,True,,,,,0.4051011755237172,hyper,0.19,0.952965235173824,0.9197860962566844,-0.0331791389171395,0.9207905138339921
cg20687242,0.434039699468386,0.581535261918876,15.2796006272014,2.98467783847315e-44,2.40371581070156e-41,89.5532738146057,0.186527909524985,0.620567608993371,0.434039699468385,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.5324745764147918,hyper,0.26,0.9678714859437751,0.953846153846154,-0.0140253320976212,0.9209486166007906
cg03576469,0.472785931475506,0.621988235775476,17.0832107588338,6.83629264534648e-53,3.1751203390649e-49,109.369499853174,0.191719024756399,0.664504956231906,0.472785931475507,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.5498279871805057,hyper,0.38,0.9613034623217924,0.9263157894736842,-0.0349876728481082,0.9135177865612648
cg11142705,0.372960163604148,0.482327575354124,13.3611355537976,1.6704059889205e-35,2.5935414158557002e-33,69.5077689987445,0.142906994807903,0.515867158412051,0.372960163604147,3,42306974,R,II,CCK,TSS1500,island,TSS1500-island,chr3:42306149-42307520,,,,,,0.4548691302807279,hyper,0.31,0.919831223628692,0.8603351955307262,-0.0594960280979657,0.9021343873517786
cg21462428,0.329878148598117,0.450886869763744,12.1329634515081,3.25349433514023e-30,2.06509336317096e-28,57.4007361399773,0.15067402229855,0.480552170896668,0.329878148598118,12,4381448,F,II,CCND2,TSS1500,island,TSS1500-island,chr12:4378366-4382222,,,,,,0.3934579593136668,hyper,0.22,0.937759336099585,0.9148936170212766,-0.0228657190783083,0.8828458498023716
cg07145284,0.322301112445295,0.613864307535304,12.9125344024163,1.5355772921467099e-33,1.69460796477575e-31,65.0121983136327,0.320547108079693,0.642848220524989,0.322301112445296,11,66084631,R,II,CD248,TSS200,shore,TSS200-shore,chr11:66083572-66083782,True,True,,,,0.3996214005250278,hyper,0.5,0.908315565031983,0.8666666666666667,-0.0416488983653162,0.8716205533596839
cg20143092,0.354638084865228,0.452950795833836,11.2678951707638,1.1564291190568399e-26,4.33407468355029e-25,49.2819815448015,0.130204625075192,0.484842709940421,0.354638084865229,11,35160330,R,II,CD44,TSS200,shore,TSS200-shore,chr11:35160375-35161000,True,,,,,0.4006829270942621,hyper,0.21,0.9355509355509356,0.8901098901098902,-0.0454410454410454,0.901818181818182
cg22222281,0.339835369533291,0.558712542176417,13.2650349574471,4.4291828885744995e-35,6.3453189207775e-33,68.5379741893981,0.249437907313387,0.589273276846677,0.33983536953329,12,6308758,R,I,CD9,TSS1500,shore,TSS1500-shore,chr12:6309152-6310392,True,True,,,,0.3865666690728578,hyper,0.38,0.9330543933054394,0.9032258064516128,-0.0298285868538265,0.9052964426877471
cg15323528,0.417296073684769,0.49965035358933,16.1585350497832,2.02691019108509e-48,3.62780722675942e-45,99.1111055880761,0.119880905235925,0.537176978920694,0.417296073684769,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.4840933017196012,hyper,0.23,0.9570552147239264,0.9484536082474226,-0.0086016064765037,0.9252173913043478
cg06197769,0.321690422284711,0.552935888317416,11.5550856259142,7.97266809042717e-28,3.52575243794423e-26,51.9368608684534,0.260174460842482,0.581864883127192,0.321690422284711,12,12868983,R,II,CDKN1B,TSS1500,shore,TSS1500-shore,chr12:12869798-12871248,,True,,,,0.3887075466335485,hyper,0.31,0.9469387755102042,0.8936170212765958,-0.0533217542336084,0.8831620553359684
cg23180938,0.327648300822904,0.399769014490361,10.4745059606984,1.50144336256007e-23,3.7340550023924797e-22,42.17086465107,0.101585488921316,0.429233789744219,0.327648300822904,5,115152485,F,I,CDO1,TSS200,island,TSS200-island,chr5:115151348-115152713,True,,,,,0.3768183035671659,hyper,0.18,0.9032258064516128,0.9032258064516128,1.1102230246251563e-16,0.8567588932806324
cg07984133,0.328186809705528,0.503063487771479,12.6073778870608,3.17455275034991e-32,2.7838755651407598e-30,62.0013362358181,0.204389880377599,0.532576690083127,0.328186809705528,13,28544592,R,I,CDX2,TSS1500,island,TSS1500-island,chr13:28544524-28544890,,,,,,0.3790210639840842,hyper,0.35,0.9106382978723404,0.8983957219251336,-0.0122425759472067,0.8994466403162056
cg00735923,0.403022923848159,0.63903779044459,14.328604872229,7.5410065723777e-40,2.58023414764957e-37,79.4621915285853,0.272257935287812,0.675280859135971,0.403022923848159,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.5032207304210595,hyper,0.37,0.9575757575757576,0.9435897435897436,-0.0139860139860139,0.876205533596838
cg09469554,0.328228465889547,0.447295133114742,10.1246307847825,3.18050767585802e-22,6.789167556719051e-21,39.1449399530695,0.148583615596557,0.476812081486104,0.328228465889548,13,96204917,R,I,CLDN10,TSS200,island,TSS200-island,chr13:96204691-96205496,True,,high-CpG:95002899-95002984,,,0.4010387323851566,hyper,0.16,0.913684210526316,0.9157894736842104,0.0021052631578944,0.8766798418972334
cg08199758,0.347022040592228,0.61064800358988,15.6505224217089,5.3291430461409205e-46,6.11234835266294e-43,93.5617424350705,0.294832981036521,0.641855021628749,0.347022040592228,16,3062426,R,I,CLDN9,TSS200,shore,TSS200-shore,chr16:3063679-3063981,,,,,,0.3667392289143664,hyper,0.41,0.9462809917355371,0.9319371727748692,-0.014343818960668,0.9558893280632411
cg16626067,0.319300680146795,0.555572983974317,13.5416738466598,2.6490272794375697e-36,4.67657112933277e-34,71.3393071550604,0.26498639376878,0.584287073915576,0.319300680146795,16,66613266,R,I,CMTM2,TSS200,island,TSS200-island,chr16:66612749-66613412,,,,,,0.3674018976229826,hyper,0.36,0.948875255623722,0.90625,-0.0426252556237219,0.9002371541501977
cg18344652,0.345762126076142,0.543845776083345,10.2575902318718,1.00486734132674e-22,2.26694721842065e-21,40.2866208698649,0.229177366380957,0.574939492457099,0.345762126076142,1,95393096,F,I,CNN3,TSS1500,island,TSS1500-island,chr1:95391837-95393116,,,,,,0.4213771586970249,hyper,0.26,0.9067796610169492,0.8913043478260869,-0.0154753131908622,0.8509090909090911
cg10765212,0.360369800254154,0.59796449416195,13.2257722263767,6.590263238500161e-35,9.179155800221968e-33,68.1427980623291,0.27000205004576,0.630371850299914,0.360369800254153,2,190044638,R,II,COL5A2,TSS200,opensea,TSS200-opensea,,,,,,,0.4397056559242947,hyper,0.43,0.9148936170212766,0.8777777777777778,-0.0371158392434988,0.8904347826086957
cg14957943,0.356267632674138,0.495507702713739,10.6651790285152,2.76379117457598e-24,7.545918127813031e-23,43.8488954942228,0.171278526215333,0.527546158889471,0.356267632674138,3,48632783,F,II,COL7A1,TSS200,island,TSS200-island,chr3:48631882-48632901,,True,high-CpG:48607725-48607801,,,0.4154586674189963,hyper,0.2,0.931106471816284,0.9148936170212766,-0.0162128547950074,0.890909090909091
cg02032778,0.409746377406386,0.530437612440496,10.8066571571775,7.773819252637761e-25,2.2757370414275905e-23,45.1068662590108,0.157538930844037,0.567285308250423,0.409746377406386,7,29186228,F,II,CPVL,TSS200,opensea,TSS200-opensea,,,True,,rs245880,,0.4561133850188968,hyper,0.2,0.9171974522292994,0.8901098901098902,-0.0270875621194092,0.8613438735177866
cg17165580,0.319407158526402,0.376352618630539,9.60988125794195,2.49958556006071e-20,4.32288229495995e-19,34.8230607608711,0.0856691254392446,0.405076283965647,0.319407158526402,1,156676581,R,II,CRABP2,TSS1500,island,TSS1500-island,chr1:156674858-156676654,True,True,,,,0.340952358598509,hyper,0.21,0.8641425389755011,0.8235294117647058,-0.0406131272107952,0.8716205533596838
cg03789645,0.392325228616236,0.667770102710902,15.0196169483608,4.90077596205772e-43,3.162429538260589e-40,86.7670205536639,0.310725919833536,0.703051148449772,0.392325228616236,7,148394842,R,II,CUL1,TSS1500,shore,TSS1500-shore,chr7:148395430-148397002,,,,,rs6959365,0.4708306653312137,hyper,0.51,0.937759336099585,0.8852459016393442,-0.0525134344602407,0.8940711462450593
cg20427865,0.333004354314127,0.731548142253296,15.8062114016037,9.72945761876171e-47,1.28882767727685e-43,95.2553735857053,0.428490222679647,0.761494576993775,0.333004354314128,16,57406353,F,II,CX3CL1,TSS200,opensea,TSS200-opensea,,,True,,rs2301772,,0.3917293323481786,hyper,0.62,0.926315789473684,0.8409090909090909,-0.085406698564593,0.9211067193675889
cg02029926,0.399465748971516,0.567971628053226,13.0401016315884,4.28013912428482e-34,5.19590106244456e-32,66.2823525320032,0.204429057946055,0.603894806917571,0.399465748971516,4,74734874,F,II,CXCL1,TSS1500,shore,TSS1500-shore,chr4:74734918-74735544,,,,,,0.4834237259327128,hyper,0.28,0.9467213114754098,0.9206349206349206,-0.0260863908404892,0.886798418972332
