CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta
cg24613080,0.345354070848744,0.502802363872284,16.6910965688975,5.50981572539143e-51,1.77164121792383e-47,104.996182822034,0.188505313783319,0.533859384632063,0.345354070848745,17,32484035,R,I,ACCN1,TSS1500,island,TSS1500-island,chr17:32484007-32484280,,True,,,,0.4308629071218471
cg02131967,0.306829392599971,0.421232538241573,11.8634176812128,4.31761199770374e-29,2.30039260953992e-27,54.8324092569546,0.141995716918578,0.448825109518549,0.306829392599971,17,61554106,R,I,ACE,TSS1500,island,TSS1500-island,chr17:61553834-61555063,,,,,,0.3940194556994801
cg10266490,0.351519500839524,0.540236979130116,15.5515007793858,1.56660551744667e-45,1.59719465769926e-42,92.4879255221302,0.220328944193426,0.571848445032951,0.351519500839524,1,55013709,R,II,ACOT11,TSS200,opensea,TSS200-opensea,,,,,,,0.416942778098265
cg14672994,0.338282464021331,0.470499546812107,14.8938629070025,1.88387070944429e-42,1.06096044947079e-39,85.4265156952895,0.16263816768478,0.500920631706112,0.338282464021332,17,48503057,R,II,ACSF2,TSS1500,island,TSS1500-island,chr17:48503056-48503887,,,,,,0.3878347746314085
cg11659501,0.350236312650476,0.487936325708049,12.3687981011739,3.2975056741312904e-31,2.44296597506215e-29,59.675217666783,0.169196084339091,0.519432396989566,0.350236312650476,12,81471678,R,II,ACSS3,TSS200,island,TSS200-island,chr12:81471569-81472119,,,,,,0.4012260004051562
cg25558103,0.322245357035544,0.601786857781781,14.5874571374668,4.91080790608637e-41,2.15574152661519e-38,82.1807556800182,0.308520399760225,0.630765756795769,0.322245357035544,17,42835859,R,I,ADAM11,TSS1500,island,TSS1500-island,chr17:42835776-42836242,,,,,,0.3888954106922078
cg26573704,0.44396128219377,0.542280173928839,15.3166399445311,2.0001532359769901e-44,1.67587449474548e-41,89.9518205708557,0.138243467471919,0.582204749665689,0.44396128219377,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.5691352798784615
cg24676071,0.373312614660777,0.691962018533757,16.2239315188637,9.847237627180687e-49,1.91947151892928e-45,99.8301813050058,0.352220682169813,0.72553329683059,0.373312614660777,7,45613410,F,I,ADCY1,TSS1500,island,TSS1500-island,chr7:45613386-45615504,,True,,,,0.4385569639470258
cg23179456,0.466215124524411,0.557600055843882,14.9558414990362,9.70715590918942e-43,5.76006402021547e-40,86.0865932281765,0.133310751870226,0.599525876394638,0.466215124524412,14,24803873,R,I,ADCY4,TSS200,island,TSS200-island,chr14:24803678-24804353,,,,,,0.5983087848541871
cg09651145,0.422567792960885,0.596595115891751,16.2737025842058,5.6807866302318296e-49,1.18730018568131e-45,100.37813734591,0.2120280237367,0.634595816697586,0.422567792960886,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.5138211454148163
cg07330230,0.396037435490835,0.48494184207286,12.2445040877547,1.10532119720931e-30,7.56187235854026e-29,58.4733464194051,0.124519283874366,0.520556719365202,0.396037435490835,3,125899925,F,I,ALDH1L1,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,True,,,,0.4544304065414837
cg14375499,0.356259702825375,0.603360146302316,13.1092335378674,2.13602201529409e-34,2.74260123639492e-32,66.9734483870507,0.279138186536777,0.635397889362152,0.356259702825375,17,6899207,F,II,ALOX12,TSS200,island,TSS200-island,chr17:6898820-6900427,True,True,,rs312466,,0.415403655243938
cg08135379,0.311310213196325,0.468057710880668,9.52426956102698,5.087251128657311e-20,8.507887578824292e-19,34.1197720508566,0.184743020453796,0.496053233650121,0.311310213196325,12,47474763,F,II,AMIGO2,TSS1500,shore,TSS1500-shore,chr12:47473177-47474120,True,,,,,0.3703271301783284
cg08076018,0.374996152513637,0.468374150563767,11.1683888271698,2.8933188444951004e-26,1.02657834187803e-24,48.3718610405808,0.12710067363589,0.502096826149526,0.374996152513636,9,129885080,F,II,ANGPTL2,TSS200,opensea,TSS200-opensea,,,,,,,0.4266314990067949
cg14904662,0.38288981635062,0.605949558007025,14.6339676247481,2.99925964519833e-41,1.38107279659956e-38,82.6715356058335,0.257492279098008,0.640382095448628,0.382889816350619,8,41655673,R,I,ANK1,TSS1500,island,TSS1500-island,chr8:41654875-41655984,True,True,,,,0.4474541235201685
cg21215929,0.375799471233759,0.626500596031605,13.3772671011395,1.41769155077549e-35,2.21948668272781e-33,69.6709121524663,0.284496041275703,0.660295512509461,0.375799471233759,5,14873039,R,II,ANKH,TSS1500,shore,TSS1500-shore,chr5:14871391-14871611,,,,,,0.4239718563853395
cg20118643,0.437301405617856,0.603430350827213,14.8312648839362,3.6760168013227e-42,1.96999416060058e-39,84.7610331788212,0.205454611182187,0.642756016800042,0.437301405617855,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.5273105160097294
