CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc
cg26573704,0.44396128219377,0.542280173928839,15.3166399445311,2.0001532359769901e-44,1.67587449474548e-41,89.9518205708557,0.138243467471919,0.582204749665689,0.44396128219377,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.5691352798784615,hyper,0.25,0.9551020408163268,0.9484536082474226,0.9065612648221344
cg09651145,0.422567792960885,0.596595115891751,16.2737025842058,5.6807866302318296e-49,1.18730018568131e-45,100.37813734591,0.2120280237367,0.634595816697586,0.422567792960886,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.5138211454148163,hyper,0.42,0.9308176100628932,0.8852459016393442,0.9190513833992096
cg04380340,0.43991029672651,0.490110160235225,13.9747177870773,3.04505500844792e-38,7.78766090722739e-36,75.7820491539669,0.0897601419913145,0.529670438717825,0.43991029672651,2,201450506,R,II,AOX1,TSS1500,shore,TSS1500-shore,chr2:201450526-201451027,True,True,,,,0.4970315017271334,hyper,0.1,0.967741935483871,0.9543147208121826,0.9310671936758892
cg18759209,0.355188592086869,0.512328197641325,16.3304227413169,3.03275565909797e-49,6.7113990748879514e-46,101.003320393197,0.189081025706153,0.544269617793022,0.355188592086869,20,55842071,R,I,BMP7,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,True,,,,,0.4075977812746775,hyper,0.29,0.959349593495935,0.9375,0.9509881422924902
cg20687242,0.434039699468386,0.581535261918876,15.2796006272014,2.98467783847315e-44,2.40371581070156e-41,89.5532738146057,0.186527909524985,0.620567608993371,0.434039699468385,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.5324745764147917,hyper,0.26,0.9678714859437751,0.953846153846154,0.9209486166007906
cg03576469,0.472785931475506,0.621988235775476,17.0832107588338,6.83629264534648e-53,3.1751203390649e-49,109.369499853174,0.191719024756399,0.664504956231906,0.472785931475507,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.5498279871805059,hyper,0.38,0.9613034623217924,0.9263157894736842,0.9135177865612648
cg15323528,0.417296073684769,0.49965035358933,16.1585350497832,2.02691019108509e-48,3.62780722675942e-45,99.1111055880761,0.119880905235925,0.537176978920694,0.417296073684769,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.4840933017196013,hyper,0.23,0.9570552147239264,0.9484536082474226,0.9252173913043478
cg08843517,0.45274209856766,0.6268695794146,17.9917809139636,2.33444574767087e-57,2.58302988971329e-53,119.618494115592,0.214841698344033,0.667583796911692,0.452742098567659,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.5423963439657444,hyper,0.31,0.9699398797595192,0.964467005076142,0.9198418972332016
cg05385513,0.476907781340765,0.636862005956573,16.8155244682466,1.37318387380843e-51,5.11483801233761e-48,106.380412749202,0.202841615024151,0.679749396364915,0.476907781340765,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,True,,,,,0.5764755749995764,hyper,0.37,0.952965235173824,0.9319371727748692,0.9244268774703558
cg18844382,0.410266800033851,0.533370037396711,17.8865051678045,7.744124793805299e-57,7.66678544224612e-53,118.423380018238,0.159997733768781,0.570264533802633,0.410266800033851,14,23834977,F,I,EFS,TSS200,island,TSS200-island,chr14:23834435-23835947,,,high-CpG:22904163-22905667,,,0.4840003529091217,hyper,0.44,0.9308176100628932,0.8666666666666667,0.9176284584980235
cg02156680,0.430787277232662,0.531705565629572,14.1179052633775,6.85406790098174e-39,1.9774038456202698e-36,77.2658785594729,0.139658151457401,0.570445428690064,0.430787277232663,8,120651317,R,II,ENPP2,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.5184247614536964,hyper,0.28,0.9330543933054394,0.9148936170212766,0.9127272727272728
cg20787173,0.39875768390968,0.54114519600912,14.5322337057266,8.81089595210059e-41,3.64653807663366e-38,81.5989400248934,0.178247016048152,0.577004699957832,0.39875768390968,6,133562475,F,I,EYA4,TSS200,island,TSS200-island,chr6:133562086-133563586,True,,,,,0.4972292247461721,hyper,0.19,0.9635627530364372,0.9489795918367346,0.913201581027668
cg08151731,0.336210954424922,0.445854154545874,13.8524041929654,1.0823526386967e-37,2.49501516201527e-35,74.5202745230205,0.139877998180748,0.476088952605669,0.336210954424921,15,48938576,F,II,FBN1,TSS1500,island,TSS1500-island,chr15:48936810-48938577,,,,,,0.3843841428202315,hyper,0.21,0.9551020408163268,0.9375,0.926798418972332
cg27223047,0.398303501092994,0.628811969815638,14.0705817151068,1.12288627730268e-38,3.09023724910502e-36,76.7746787918566,0.266327128892877,0.664630629985871,0.398303501092994,5,127874825,F,II,FBN2,TSS1500,island,TSS1500-island,chr5:127872563-127874945,,,,rs55770077,,0.4671130895441213,hyper,0.3,0.9699398797595192,0.9424083769633508,0.9141501976284584
cg06244497,0.429319860857726,0.526680156018631,14.5441664317119,7.76604685085581e-41,3.26438620729185e-38,81.7245757672441,0.135968196317176,0.565288057174901,0.429319860857725,19,39466575,F,II,FBXO17,TSS200,shore,TSS200-shore,chr19:39465846-39466403,,True,,,,0.505732424091977,hyper,0.31,0.9375,0.8913043478260869,0.9302766798418974
cg01537995,0.357525674949213,0.514206711210692,14.4085717958368,3.25059357404639e-40,1.19656512282204e-37,80.2996803048521,0.18883262573533,0.546358300684542,0.357525674949213,14,85996352,F,II,FLRT2,TSS200,shore,TSS200-shore,chr14:85996494-85996958,,,high-CpG:85066099-85066447,,,0.4178564012515164,hyper,0.33,0.9397089397089397,0.9206349206349206,0.9106719367588934
cg14616251,0.404011070477339,0.581737677720857,14.9160907695487,1.48537352909753e-42,8.53137325975778e-40,85.6631099906517,0.214058538041839,0.618069608519178,0.404011070477339,1,24648696,R,II,GRHL3,TSS1500,island,TSS1500-island,chr1:24648202-24648985,True,,,,,0.4946682505764716,hyper,0.42,0.9194915254237288,0.8729281767955802,0.9040316205533596
cg14117138,0.487159328486733,0.627808755769014,17.5304202466532,4.40969178723776e-55,2.91043526108383e-51,114.395220684747,0.184458719412384,0.671618047899116,0.487159328486732,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.5870461167326491,hyper,0.35,0.9635627530364372,0.9591836734693876,0.9195256916996049
cg20883831,0.462837738888281,0.54304106401273,16.1443561293966,2.37001714840377e-48,4.20571840243038e-45,98.9553366050009,0.121825423945337,0.584663162833619,0.462837738888281,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.5537901515578136,hyper,0.16,0.9718875502008032,0.9696969696969696,0.9356521739130436
cg19820372,0.351296752227615,0.454776626468304,13.7202908078737,4.23324642879293e-37,8.716849878183061e-35,73.1634704653021,0.135071308793532,0.486368061021147,0.351296752227615,11,111411216,R,II,LAYN,TSS200,island,TSS200-island,chr11:111410932-111412199,True,,,,,0.3943623424685734,hyper,0.22,0.9614604462474644,0.9148936170212766,0.926798418972332
cg26412532,0.407850797486297,0.51874839784311,15.3088955079509,2.1748213308468801e-44,1.79819485444231e-41,89.8684573073042,0.147574830346587,0.555425627832885,0.407850797486298,10,103881068,F,II,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.4904813759565571,hyper,0.33,0.9397089397089397,0.9090909090909092,0.9203162055335968
cg14102988,0.397848044983532,0.508560546253403,13.5523579636366,2.3746090020736797e-36,4.23183221044589e-34,71.4480852275922,0.14649020315688,0.544338248140411,0.397848044983532,9,113801337,R,II,LPAR1,TSS1500,island,TSS1500-island,chr9:113799913-113801375,,,high-CpG:112840107-112841306,,,0.4570107478901821,hyper,0.2,0.952965235173824,0.9263157894736842,0.9116205533596838
cg00353923,0.348721024166242,0.471565503844602,10.2958181721422,7.201733375209721e-23,1.65243236424785e-21,40.6167516180349,0.154204284009857,0.502925308176099,0.348721024166242,7,127671044,R,II,LRRC4,TSS200,shore,TSS200-shore,chr7:127671158-127672853,True,,,,,0.3695563711438295,hyper,0.23,0.8908296943231441,0.8342857142857143,0.8977075098814228
cg19300568,0.365708439612021,0.499882225250407,14.431128927791,2.56275560364551e-40,9.65086558427887e-38,80.5363035270092,0.167061235243784,0.532769674855805,0.365708439612021,4,2060112,F,I,NAT8L,TSS1500,island,TSS1500-island,chr4:2059928-2063181,,,,,,0.3948320675588586,hyper,0.33,0.9327731092436976,0.9263157894736842,0.9326482213438736
cg18711066,0.356505591874763,0.478427817961566,12.9947900360644,6.74299606892771e-34,7.91497296758486e-32,65.8304340792594,0.153982081471225,0.510487673345987,0.356505591874763,16,68118822,F,II,NFATC3,TSS1500,island,TSS1500-island,chr16:68118564-68119986,,,,,,0.4161563078927982,hyper,0.2,0.9595141700404858,0.9032258064516128,0.9106719367588932
cg00536939,0.409704033357012,0.514341935467945,15.3720320507651,1.0984580973873201e-44,9.610358802967347e-42,90.5485726111185,0.141481790002751,0.551185823359763,0.409704033357012,11,47279352,R,II,NR1H3,TSS200,opensea,TSS200-opensea,,True,True,,,,0.465295211340527,hyper,0.27,0.9462809917355371,0.9319371727748692,0.939604743083004
cg07198194,0.418193306433006,0.539452539289306,18.4328048444547,1.50723882659658e-59,2.7001465845703198e-55,124.644481176863,0.158866544585887,0.577059851018893,0.418193306433006,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.5045797129355043,hyper,0.29,0.9698189134808854,0.953846153846154,0.9283794466403162
cg24530250,0.3732246861303,0.46498006372289,11.4967767735769,1.37674960245324e-27,5.88702073415458e-26,51.394498858506,0.125318748647472,0.498543434777773,0.373224686130301,11,71955599,R,I,PHOX2A,TSS1500,island,TSS1500-island,chr11:71954816-71955659,True,,,,,0.426155064015404,hyper,0.11,0.9698189134808854,0.97,0.9114624505928852
cg14130039,0.431070513466739,0.582808575791412,15.174808676794,9.24263024229958e-44,6.69966032813933e-41,88.427837877297,0.190503396269524,0.621573909736263,0.431070513466739,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.5089701941531155,hyper,0.21,0.9699398797595192,0.964467005076142,0.9154150197628458
cg04203238,0.397378973302641,0.563978376071398,16.3109909488247,3.7605774640740594e-49,8.17773436342186e-46,100.789052579295,0.202334921950649,0.599713895253291,0.397378973302641,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.4903926109564518,hyper,0.41,0.9484536082474228,0.9032258064516128,0.9190513833992096
cg03053374,0.365698414119069,0.488272664066257,16.8105942262511,1.45099198237225e-51,5.35167096792501e-48,106.325501297656,0.155460797979479,0.521159212098548,0.365698414119068,17,38465422,R,II,RARA,TSS200,opensea,TSS200-opensea,,,,,,,0.443729351332617,hyper,0.21,0.9699398797595192,0.964467005076142,0.9282213438735178
cg02499249,0.461076705372628,0.568310675965825,15.1753106771092,9.1927872031659e-44,6.68930852953004e-41,88.4332216337471,0.148697703090735,0.609774408463363,0.461076705372628,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,True,,,,0.5371914007879595,hyper,0.26,0.9570552147239264,0.9263157894736842,0.9187351778656128
cg18349298,0.337116585450954,0.599215763817812,17.8682984185877,9.527046332457429e-57,8.960306163755371e-53,118.216882080535,0.292415418065686,0.629532003516638,0.337116585450953,3,158450550,F,I,RARRES1,TSS1500,island,TSS1500-island,chr3:158449795-158450597,True,True,,,,0.3919695169496683,hyper,0.46,0.9570552147239264,0.9430051813471504,0.9285375494071146
cg15229124,0.354439553507262,0.538597802437299,14.2539251417794,1.65159592715438e-39,5.30918310967561e-37,78.6820095448124,0.216032309497236,0.570471863004499,0.354439553507263,3,139258912,F,I,RBP1,TSS1500,shore,TSS1500-shore,chr3:139257712-139257949,,,,rs75826136,,0.4084230853486832,hyper,0.29,0.9574036511156186,0.9435897435897436,0.912411067193676
cg02711647,0.41330099722156,0.516076930876465,14.110925363847,7.3720795585095e-39,2.11227204136258e-36,77.1933810610166,0.139943289520154,0.553244286741713,0.41330099722156,2,45237689,R,I,SIX2,TSS1500,island,TSS1500-island,chr2:45235511-45237792,,,,,,0.4697049830136178,hyper,0.22,0.9572301425661914,0.964467005076142,0.9258498023715416
cg07676859,0.387542946473673,0.495350878800439,13.9587379207786,3.59485690451718e-38,9.046174861296901e-36,75.6168995908378,0.14265891672188,0.530201863195554,0.387542946473673,20,23015932,R,I,SSTR4,TSS200,island,TSS200-island,chr20:23015716-23016879,,,,,,0.4376602698657746,hyper,0.18,0.9570552147239264,0.9591836734693876,0.912411067193676
cg15853125,0.330987614455331,0.38560570202667,10.6174012060874,4.23139493577007e-24,1.12874702673997e-22,43.4265386530141,0.0843831608137246,0.415370775269056,0.330987614455331,21,32932267,R,II,TIAM1,TSS1500,shore,TSS1500-shore,chr21:32929927-32932017,,,,,,0.3682183142052208,hyper,0.08,0.9614604462474644,0.9543147208121826,0.923794466403162
cg08378442,0.368713650620958,0.462049803297982,14.4857177781421,1.44055351872121e-40,5.71670291677756e-38,81.1096309022251,0.126493855070996,0.495207505691953,0.368713650620958,2,220117704,F,II,TUBA4B,TSS1500,shore,TSS1500-shore,chr2:220117937-220119334,,True,,,,0.452439361568808,hyper,0.21,0.9595141700404858,0.9206349206349206,0.9133596837944664
cg08614290,0.345650563271276,0.600551860250354,13.362451499902,1.6482085482264998e-35,2.56119081737113e-33,69.5210737776231,0.285984980726494,0.631635543997771,0.345650563271276,7,158938491,F,II,VIPR2,TSS1500,island,TSS1500-island,chr7:158936507-158938492,,,,,,0.3942005380824405,hyper,0.36,0.9549180327868853,0.9157894736842104,0.9060869565217392
cg23740882,0.402701363544161,0.51993390468289,14.5536758013687,7.02261608930534e-41,2.97181471977179e-38,81.8247297988363,0.153446692536586,0.556148056080747,0.402701363544161,20,44098387,F,II,WFDC2,TSS200,island,TSS200-island,chr20:44098280-44099536,,,,rs6032215,,0.5137986584727695,hyper,0.18,0.9616161616161616,0.932642487046632,0.8999209486166008
