CpG,weight,gain,cover
cg00349607,1.0,1.5677375793457031,35.80756378173828
cg09827752,1.0,0.7761828303337097,6.092611789703369
cg10400707,1.0,0.5684607028961182,4.378129482269287
cg18344652,2.0,0.6420574188232422,44.65662384033203
cg26001902,4.0,1.3023144006729126,17.256519317626953
cg07330230,2.0,1.0438631772994995,24.07498550415039
cg15229124,6.0,3.6771938800811768,37.2773323059082
cg18349298,11.0,15.686835289001465,38.047176361083984
cg04203238,3.0,206.43601989746094,94.09835052490234
cg19300568,14.0,2.9758782386779785,14.031278610229492
cg00795341,1.0,0.8946933746337891,24.89259910583496
cg04518342,4.0,1.4975066184997559,7.949306488037109
cg20883831,2.0,61.096683502197266,44.39427185058594
cg27494647,1.0,1.1799583435058594,26.194616317749023
cg14904662,1.0,0.7727413177490234,19.021820068359375
cg07198194,1.0,1.1604194641113281,16.891286849975586
cg07834955,1.0,0.40066206455230713,4.371692657470703
cg06282270,1.0,4.546943664550781,26.99288558959961
cg23083315,2.0,1.487293004989624,7.425802707672119
cg24530250,9.0,44.210540771484375,56.34141540527344
cg14537533,17.0,1.211682915687561,19.197542190551758
cg17395064,1.0,2.3198089599609375,53.9678955078125
cg21383810,3.0,2.394946813583374,26.228078842163086
cg22222281,5.0,4.2915754318237305,46.056922912597656
cg11521404,2.0,1.1711068153381348,22.414838790893555
cg01781974,2.0,3.914327621459961,24.09657096862793
cg10101773,1.0,1.1159523725509644,4.538819789886475
cg08843517,3.0,1.9158835411071777,20.51317596435547
cg02131967,4.0,2.0518617630004883,8.852381706237793
cg05306745,5.0,3.5823974609375,20.99947166442871
cg25558103,1.0,2.8609848022460938,18.12032127380371
cg26010734,1.0,0.819372832775116,5.342909812927246
cg07676859,21.0,20.951326370239258,33.4461784362793
cg18759209,22.0,2.6937806606292725,9.509782791137695
cg22212414,30.0,2.4633185863494873,18.980920791625977
cg11256607,1.0,1.6630973815917969,32.78618240356445
cg18877506,5.0,1.390437364578247,17.17818832397461
cg21784383,1.0,7.0728678703308105,4.5
cg22488256,1.0,0.5074433088302612,4.851832866668701
cg23274561,3.0,2.374574899673462,7.943840503692627
cg04380340,5.0,231.655029296875,101.71788024902344
cg05385513,1.0,0.552886962890625,47.29590606689453
cg08378442,12.0,131.36460876464844,72.37548065185547
cg10765212,1.0,1.840592384338379,4.516728401184082
cg24715680,1.0,3.1842775344848633,14.292057037353516
cg24302235,9.0,0.9190623164176941,8.785099029541016
cg08924430,2.0,4.2193450927734375,36.84568786621094
cg12727795,2.0,4.750612258911133,45.48129653930664
cg16970232,1.0,3.574779510498047,38.984779357910156
cg12242450,9.0,1.6003206968307495,7.014408588409424
cg18363192,2.0,1.0713529586791992,4.0708417892456055
cg00353923,32.0,4.649590969085693,17.87936019897461
cg02032778,22.0,2.014953851699829,10.020309448242188
cg05471296,19.0,4.274306774139404,30.887386322021484
cg06390484,4.0,1.2130612134933472,38.20314025878906
cg02156680,3.0,80.16600036621094,55.83272171020508
cg03430846,1.0,0.6401108503341675,4.989365100860596
cg08076018,1.0,2.889253616333008,13.942544937133789
cg14102988,5.0,42.323974609375,46.03960418701172
cg12420900,1.0,5.4925994873046875,57.02149963378906
cg00536939,1.0,0.7286475300788879,6.874170780181885
cg04986616,3.0,0.1719164103269577,12.156806945800781
cg07145284,1.0,0.5046520233154297,13.374831199645996
cg06197769,5.0,0.8343885540962219,7.8195366859436035
cg08135379,1.0,0.44293326139450073,4.553645133972168
cg20687242,1.0,0.3465309143066406,36.767215728759766
cg21462428,10.0,0.6800447702407837,18.678592681884766
cg08151731,4.0,144.35499572753906,83.04596710205078
cg10959198,2.0,1.5638651847839355,9.08719253540039
cg13605988,2.0,1.0542690753936768,7.030220031738281
cg20118643,1.0,3.4340972900390625,34.84778594970703
cg12080909,2.0,3.852296829223633,27.3529052734375
cg14375499,7.0,0.9015209078788757,31.13372230529785
cg18108623,7.0,3.2252793312072754,24.615276336669922
cg20104456,12.0,0.8093504309654236,7.000694274902344
