CpG,Importance,Std
cg04380340,0.07055735499678402,0.24241742516367115
cg18349298,0.059650747024967865,0.22214650589537052
cg04203238,0.05722634635353418,0.22067538494918
cg08151731,0.05541205105562999,0.21604326900671036
cg02156680,0.054250014850776566,0.2128631952480193
cg20883831,0.04884714212085128,0.2031876878700639
cg08378442,0.04751998406558358,0.19820104968850755
cg03053374,0.038504822884518314,0.18140597373913836
cg24530250,0.03677732015493659,0.1736252299787715
cg27223047,0.029671554014810066,0.15956947363562324
cg09651145,0.028329116301920976,0.15505171402914042
cg05385513,0.02724619070310744,0.15275174649681614
cg03576469,0.02704930586589132,0.15318617959137357
cg07198194,0.02374743556437467,0.14338144697307986
cg14130039,0.02309265637917344,0.14086326464740737
cg02499249,0.022909115237888255,0.1401441609661267
cg01537995,0.020398409993702078,0.13088292809724134
cg06244497,0.020248139275088704,0.1326731705011505
cg08843517,0.01755840911113804,0.12076104566040607
cg15853125,0.016603525734824386,0.11954233359117984
cg15323528,0.016266874958069024,0.11870861657499711
cg14616251,0.014773449514657717,0.10985021453315329
cg02711647,0.012892301637164491,0.10487588045810464
cg20687242,0.011106837147372496,0.09840091896455178
cg26573704,0.010637143573182689,0.09487226894971765
cg19300568,0.010024802005334439,0.088161819934559
cg18844382,0.009509473784062406,0.08488938460506376
cg14102988,0.009293245834089763,0.08783470929679696
cg23740882,0.009211881293849759,0.08734379593907433
cg19820372,0.008744030588721313,0.08620255193745668
cg19548479,0.008133398059409153,0.0843674800775077
cg20787173,0.007113676187108159,0.07717442270960902
cg00536939,0.006743824936045469,0.06985541726572274
cg08614290,0.0062176062373186,0.07277694407529428
cg14117138,0.00580336929221241,0.07022528725335753
cg26412532,0.005571586430021938,0.06986548724273142
cg10119075,0.005012907263553406,0.06520490860855123
cg24302235,0.004955905335898247,0.06321548138971199
cg07676859,0.004878638000755473,0.04887118799673372
cg20676696,0.004847727266173503,0.058909004463200236
cg18759209,0.004746846947483775,0.05605993508366663
cg20118643,0.0036348610224831135,0.0475230513886203
cg18711066,0.003490448681337505,0.04075819709194382
cg00353923,0.0034537072486291323,0.00971640746336216
cg01837657,0.003039895806573763,0.049827865582265034
cg20902783,0.0028625525713834306,0.04733351301324397
cg13999188,0.0028099602014385475,0.047692502144584516
cg15229124,0.002448788893543018,0.008356801752648331
cg12420900,0.0022610013594162796,0.03937250458496275
cg17469978,0.0021509673594211345,0.03455568883610918
cg25726664,0.0019626566263207554,0.03936483861553266
cg24182521,0.0019101520092748413,0.03923978009545363
