CpG,early_dbeta,later_dbeta,dbate_dif
cg27259271,0.120054775,-0.036057565,0.15611234
cg22699026,0.114057384,-0.03554402,0.149601404
cg18087672,0.145681313,-0.000119974,0.145801287
cg03395511,0.248213986,0.104600197,0.143613789
cg18110333,0.261497727,0.128901768,0.132595959
cg13890706,0.138656155,0.006095786,0.132560369
cg12319602,0.165719499,0.033324719,0.13239478
cg04266929,0.146561545,0.015553699,0.131007846
cg26787589,-0.036478284,-0.165920399,0.129442115
cg03513858,-0.109922876,-0.23823907,0.128316194
cg07043247,-0.079105469,-0.206991952,0.127886483
cg15460899,0.02869689,-0.098024173,0.126721063
cg03660603,-0.059757787,-0.184714611,0.124956824
cg00094518,0.095096555,-0.028651529,0.123748084
cg05663341,0.110937678,-0.010930776,0.121868454
cg21548813,0.222690278,0.102686135,0.120004143
cg06751221,0.16190211,0.043127564,0.118774546
cg07955995,0.082819911,-0.035920862,0.118740773
cg14815891,0.079004663,-0.039389368,0.118394031
cg22263031,-0.041443608,-0.158239637,0.116796029
cg04221117,-0.03245882,-0.149148519,0.116689699
cg25285090,0.11571942,-0.000629198,0.116348618
cg11344073,-0.078321685,-0.194394811,0.116073126
cg12211856,0.06336621,-0.052697371,0.116063581
cg15826426,-0.035384361,-0.15129423,0.115909869
cg27316811,-0.048815426,-0.164651312,0.115835886
cg18331515,0.124841444,0.009205295,0.115636149
cg21472642,0.081059274,-0.034494656,0.11555393
cg16520796,-0.086565864,-0.201643311,0.115077447
cg10397765,0.008407001,-0.10656793,0.114974931
cg00420361,0.143310896,0.0290174,0.114293496
cg01364826,-0.111516459,-0.225643649,0.11412719
cg05353872,0.035512101,-0.077120677,0.112632778
cg22232327,0.120553666,0.007923245,0.112630421
cg05064044,0.196561643,0.083934072,0.112627571
cg07162000,0.076264222,-0.035538232,0.111802454
cg09080553,-0.093406346,-0.204988365,0.111582019
cg02526522,0.221085719,0.109746505,0.111339214
cg06032337,0.105225474,-0.005955571,0.111181045
cg22643811,0.133232003,0.022697948,0.110534055
cg16135698,0.110630236,0.000682087,0.109948149
cg03430597,-0.036691494,-0.146072043,0.109380549
cg06431514,-0.102231664,-0.211431208,0.109199544
cg23112423,-0.053036009,-0.161944893,0.108908884
cg16715129,0.087355516,-0.021448255,0.108803771
cg18137308,0.217563598,0.109343622,0.108219976
cg09164898,0.260044152,0.152222902,0.10782125
cg05733135,0.108263799,0.000843723,0.107420076
cg17264670,0.127616703,0.020477212,0.107139491
cg01560642,0.15620703,0.049258331,0.106948699
cg11372090,0.10061121,-0.00626933,0.10688054
cg14919554,0.075658536,-0.031102556,0.106761092
cg20699079,-0.095659774,-0.202236787,0.106577013
cg10070864,0.074055361,-0.031742552,0.105797913
cg09200260,0.080066682,-0.02566229,0.105728972
cg19123095,0.114864917,0.00936108,0.105503837
cg05905844,-0.050315363,-0.155599046,0.105283683
cg22209355,-0.018074681,-0.123261291,0.10518661
cg17403817,-0.057805852,-0.161772716,0.103966864
cg22747501,0.087591493,-0.015606717,0.10319821
cg10067182,-0.253941588,-0.357051429,0.103109841
cg08363001,-0.144221664,-0.247324782,0.103103118
cg01116873,-0.04761005,-0.150244248,0.102634198
cg02657245,-0.0968322,-0.199328726,0.102496526
cg20852851,0.012651382,-0.089837277,0.102488659
cg00015699,-0.038789685,-0.141198088,0.102408403
cg24120357,0.123626906,0.021956735,0.101670171
cg23914535,-0.151489339,-0.252630394,0.101141055
cg07964113,0.001254978,-0.099797781,0.101052759
cg07254706,-0.025211604,-0.126255475,0.101043871
cg26311804,-0.069612002,-0.170217479,0.100605477
cg00374101,-0.156551764,-0.25637068,0.099818916
cg14005139,0.101550205,0.002074886,0.099475319
cg26668828,0.203536866,0.104112403,0.099424463
cg15042811,0.119402296,0.02045003,0.098952266
cg05579652,0.109417826,0.010728931,0.098688895
