CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,cutpoint,F1,DNAm,F1_validate,F1_dif
cg04294888,0.485245566,0.605763214,14.98587225,7.04e-43,4.36e-40,86.40684213,0.16415484,0.649400406,0.485245566,22,28839249,F,II,TTC28,Body,opensea,Body-opensea,,,,,,,0.587219031,0.38,0.9330543933054394,hyper,0.8972972972972972,-0.0357570960081421
cg14117138,0.487159328,0.627808756,17.53042025,4.41e-55,2.91e-51,114.3952207,0.184458719,0.671618048,0.487159328,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.587046117,0.32,0.9635627530364372,hyper,0.9591836734693876,-0.0043790795670495
cg05385513,0.476907781,0.636862006,16.81552447,1.37e-51,5.1099999999999995e-48,106.3804127,0.202841615,0.679749396,0.476907781,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,True,,,,,0.576475575,0.36,0.952965235173824,hyper,0.9319371727748692,-0.0210280623989549
cg10069493,0.461859343,0.579439144,16.99491377,1.8399999999999997e-52,8.06e-49,108.3818956,0.159113915,0.620973258,0.461859343,10,45914688,R,I,ALOX5,Body,island,Body-island,chr10:45914374-45914883,True,True,,,,0.572644126,0.36,0.9419087136929462,hyper,0.9375,-0.0044087136929461
cg26573704,0.443961282,0.542280174,15.31663994,2e-44,1.68e-41,89.95182057,0.138243467,0.58220475,0.443961282,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.56913528,0.25,0.9551020408163268,hyper,0.9484536082474226,-0.0066484325689041
cg14861089,0.456110824,0.616962583,16.29931593,4.2800000000000004e-49,9.2e-46,100.6603591,0.201868919,0.657979743,0.456110824,10,102895043,R,I,TLX1,Body,island,Body-island,chr10:102893660-102895059,,,,,,0.559211553,0.28,0.9635627530364372,hyper,0.9489795918367346,-0.0145831611997025
cg08862890,0.467003585,0.604098205,18.17308614,2.95e-58,4.26e-54,121.6809802,0.179091346,0.64609493,0.467003585,5,169064451,R,I,DOCK2,Body,island,Body-island,chr5:169064270-169064702,,,,,,0.556384629,0.39,0.9506172839506172,hyper,0.9484536082474226,-0.0021636757031945
cg00817367,0.476429186,0.603189432,18.76519493,3.3099999999999996e-61,8.890000000000003e-57,128.4516895,0.169604597,0.646033783,0.476429186,12,52401214,F,I,GRASP,Body,island,Body-island,chr12:52400467-52401696,True,,,,,0.55498594,0.41,0.9527720739219712,hyper,0.9375,-0.0152720739219711
cg20883831,0.462837739,0.543041064,16.14435613,2.3699999999999998e-48,4.21e-45,98.95533661,0.121825424,0.584663163,0.462837739,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.553790152,0.16,0.9718875502008032,hyper,0.9696969696969696,-0.0021905805038334
cg03576469,0.472785931,0.621988236,17.08321076,6.84e-53,3.18e-49,109.3694999,0.191719025,0.664504956,0.472785931,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.549827987,0.38,0.9613034623217924,hyper,0.9263157894736842,-0.0349876728481082
cg09296001,0.454654909,0.576115252,19.29261601,7.49e-64,4.690000000000001e-59,134.5230548,0.162346575,0.617001485,0.454654909,7,127672564,R,I,SND1,Body,island,Body-island,chr7:127671158-127672853,True,,,,,0.548335093,0.44,0.9484536082474228,hyper,0.9206349206349206,-0.0278186876125021
cg26388816,0.460666833,0.608316337,16.61105258,1.34e-50,3.83e-47,104.1075072,0.189076377,0.64974321,0.460666833,12,570155,F,I,B4GALNT3,Body,island,Body-island,chr12:568702-570362,True,,,,,0.547537792,0.39,0.9440993788819876,hyper,0.9263157894736842,-0.0177835894083033
cg02534363,0.445082018,0.598838056,14.84724763,3.1e-42,1.68e-39,84.93083191,0.1937814,0.638863418,0.445082018,3,47050950,R,II,NBEAL2,3'UTR,island,3'UTR-island,chr3:47050486-47051609,,True,,,,0.543311418,0.26,0.9552845528455284,hyper,0.9375,-0.0177845528455283
cg04407470,0.41683616,0.547685311,15.94979703,2.02e-47,3e-44,96.82294578,0.168334418,0.585170577,0.41683616,6,108489977,R,I,NR2E1,Body,island,Body-island,chr6:108485671-108490539,,True,,,,0.543105463,0.26,0.9574036511156186,hyper,0.9748743718592964,0.0174707207436777
cg08843517,0.452742099,0.626869579,17.99178091,2.33e-57,2.58e-53,119.6184941,0.214841698,0.667583797,0.452742099,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.542396344,0.29,0.9699398797595192,hyper,0.964467005076142,-0.005472874683377
cg02499249,0.461076705,0.568310676,15.17531068,9.19e-44,6.69e-41,88.43322163,0.148697703,0.609774408,0.461076705,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,True,,,,0.537191401,0.26,0.9570552147239264,hyper,0.9263157894736842,-0.0307394252502422
cg19548479,0.442655104,0.526410017,15.02676679,4.5400000000000015e-43,2.95e-40,86.84337913,0.123562027,0.566217131,0.442655104,17,41363737,R,II,TMEM106A,TSS200,island,TSS200-island,chr17:41363727-41364273,True,,,,,0.536731779,0.31,0.9419087136929462,hyper,0.9032258064516128,-0.0386829072413332
cg16332610,0.448924064,0.644556976,18.70762821,6.41e-61,1.4200000000000001e-56,127.791206,0.236003781,0.684927845,0.448924064,15,74658547,F,II,CYP11A1,1stExon,island,1stExon-island,chr15:74658038-74658574,,True,,,,0.536388341,0.38,0.9698189134808854,hyper,0.9484536082474226,-0.0213653052334628
cg16232979,0.447779549,0.55432619,16.05728139,6.189999999999999e-48,1.02e-44,97.99982126,0.146814586,0.594594135,0.447779549,19,16187631,F,I,TPM4,Body,island,Body-island,chr19:16186789-16188275,,,high-CpG:16048047-16048853,,,0.536382411,0.39,0.9375,hyper,0.9424083769633508,0.0049083769633508
cg22260952,0.448151326,0.560729884,16.33324683,2.94e-49,6.54e-46,101.0344681,0.152879937,0.601031263,0.448151326,12,104852446,F,I,CHST11,Body,shore,Body-shore,chr12:104850253-104852395,,,,,,0.532698931,0.37,0.9462809917355371,hyper,0.9319371727748692,-0.014343818960668
cg13247663,0.410974029,0.624317945,17.27915966,7.54e-54,4.05e-50,111.5667979,0.250302013,0.661276041,0.410974029,8,59058254,R,I,FAM110B,5'UTR,island,5'UTR-island,chr8:59058167-59059414,True,True,high-CpG:59220802-59221031,,,0.53255206,0.43,0.9552845528455284,hyper,0.953846153846154,-0.0014383989993744
